Primer	Reference	Start	End
DENV1_1_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	458	477
DENV1_1_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	460	479
DENV1_2_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	399	418
DENV1_2_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	9524	9543
DENV1_2_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	771	790
DENV1_2_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	401	420
DENV1_2_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	767	786
DENV1_2_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	771	790
DENV1_2_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	767	786
DENV1_2_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	769	788
DENV1_3_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	692	711
DENV1_3_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	696	715
DENV1_3_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	692	711
DENV1_3_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	694	713
DENV1_3_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	1073	1093
DENV1_3_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	9581	9601
DENV1_3_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	347	367
DENV1_3_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	1075	1095
DENV1_4_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	1016	1035
DENV1_4_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	1020	1039
DENV1_4_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	3674	3693
DENV1_4_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	1018	1037
DENV1_4_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	1388	1410
DENV1_4_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	1392	1414
DENV1_4_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	8362	8384
DENV1_4_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	1390	1412
DENV1_5_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	1304	1332
DENV1_5_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	1304	1332
DENV1_5_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	1306	1334
DENV1_5_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	1699	1720
DENV1_5_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	1703	1724
DENV1_5_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	1693	1714
DENV1_5_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	1701	1722
DENV1_6_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	1641	1662
DENV1_6_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	3713	3734
DENV1_6_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	1635	1656
DENV1_6_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	1384	1405
DENV1_6_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	2009	2033
DENV1_6_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	8361	8385
DENV1_6_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	2003	2027
DENV1_6_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	2011	2035
DENV1_7_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	1913	1933
DENV1_7_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	5074	5094
DENV1_7_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	1907	1927
DENV1_7_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	8899	8919
DENV1_7_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	2306	2329
DENV1_7_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	1263	1286
DENV1_7_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	2300	2323
DENV1_7_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	2033	2056
DENV1_8_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	2242	2264
DENV1_8_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	2246	2268
DENV1_8_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	2236	2258
DENV1_8_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	8852	8874
DENV1_8_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	2613	2640
DENV1_8_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	2617	2644
DENV1_8_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	2607	2634
DENV1_8_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	2615	2642
DENV1_9_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	2488	2510
DENV1_9_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	2492	2514
DENV1_9_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	2482	2504
DENV1_9_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	2490	2512
DENV1_9_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	2861	2883
DENV1_9_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	2865	2887
DENV1_9_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	2855	2877
DENV1_9_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	4486	4508
DENV1_10_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	2764	2785
DENV1_10_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	2768	2789
DENV1_10_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	2758	2779
DENV1_10_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	2766	2787
DENV1_10_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	3161	3182
DENV1_10_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	3165	3186
DENV1_10_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	5754	5775
DENV1_10_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	3163	3184
DENV1_11_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	3102	3123
DENV1_11_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	3106	3127
DENV1_11_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	3096	3117
DENV1_11_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	3104	3125
DENV1_11_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	3470	3489
DENV1_11_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	7483	7502
DENV1_11_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	871	890
DENV1_11_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	6516	6535
DENV1_12_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	3329	3354
DENV1_12_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	1627	1652
DENV1_12_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	3323	3348
DENV1_12_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	347	372
DENV1_12_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	3710	3735
DENV1_12_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	4481	4506
DENV1_12_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	6950	6975
DENV1_12_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	3712	3737
DENV1_13_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	3642	3663
DENV1_13_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	5331	5352
DENV1_13_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	4013	4034
DENV1_13_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	5360	5381
DENV1_13_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	4019	4039
DENV1_13_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	8852	8872
DENV1_13_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	8851	8871
DENV1_13_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	8859	8879
DENV1_14_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	3857	3881
DENV1_14_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	3859	3883
DENV1_14_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	4227	4248
DENV1_14_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	4231	4252
DENV1_14_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	4221	4242
DENV1_14_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	4017	4038
DENV1_15_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	4115	4136
DENV1_15_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	9214	9235
DENV1_15_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	8711	8732
DENV1_15_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	3893	3914
DENV1_15_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	4500	4524
DENV1_15_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	4504	4528
DENV1_15_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	4494	4518
DENV1_15_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	2444	2468
DENV1_16_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	4382	4410
DENV1_16_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	4376	4404
DENV1_16_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	4384	4412
DENV1_16_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	4779	4800
DENV1_16_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	5548	5569
DENV1_16_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	2698	2719
DENV1_16_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	138	159
DENV1_17_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	4695	4716
DENV1_17_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	1663	1684
DENV1_17_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	4689	4710
DENV1_17_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	4697	4718
DENV1_17_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	5087	5111
DENV1_17_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	5088	5112
DENV1_17_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	5081	5105
DENV1_17_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	5086	5110
DENV1_18_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	5015	5037
DENV1_18_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	9266	9288
DENV1_18_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	7388	7410
DENV1_18_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	7393	7415
DENV1_18_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	5399	5418
DENV1_18_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	5400	5419
DENV1_18_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	5393	5412
DENV1_18_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	5398	5417
DENV1_19_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	5333	5352
DENV1_19_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	4615	4634
DENV1_19_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	5327	5346
DENV1_19_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	5332	5351
DENV1_19_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	5721	5742
DENV1_19_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	5722	5743
DENV1_19_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	5715	5736
DENV1_19_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	5720	5741
DENV1_20_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	5660	5681
DENV1_20_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	3013	3034
DENV1_20_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	5654	5675
DENV1_20_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	5659	5680
DENV1_20_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	6032	6053
DENV1_20_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	8423	8444
DENV1_20_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	6026	6047
DENV1_20_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	7339	7360
DENV1_21_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	5975	5995
DENV1_21_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	5976	5996
DENV1_21_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	5969	5989
DENV1_21_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	5974	5994
DENV1_21_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	6355	6376
DENV1_21_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	8330	8351
DENV1_21_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	10224	10245
DENV1_21_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	6354	6375
DENV1_22_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	6195	6216
DENV1_22_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	107	128
DENV1_22_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	6189	6210
DENV1_22_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	6194	6215
DENV1_22_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	6562	6582
DENV1_22_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	7993	8013
DENV1_22_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	7982	8002
DENV1_22_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	5467	5487
DENV1_23_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	6476	6496
DENV1_23_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	1404	1424
DENV1_23_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	5261	5281
DENV1_23_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	5913	5933
DENV1_23_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	6847	6868
DENV1_23_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	6848	6869
DENV1_23_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	6841	6862
DENV1_23_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	951	972
DENV1_24_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	6775	6796
DENV1_24_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	4250	4271
DENV1_24_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	6769	6790
DENV1_24_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	3129	3150
DENV1_24_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	7149	7168
DENV1_24_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	7138	7157
DENV1_24_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	7140	7159
DENV1_24_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	278	297
DENV1_25_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	7090	7112
DENV1_25_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	7079	7101
DENV1_25_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	7081	7103
DENV1_25_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	7086	7108
DENV1_25_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	7460	7482
DENV1_25_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	7449	7471
DENV1_25_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	7451	7473
DENV1_25_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	7456	7478
DENV1_26_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	7390	7411
DENV1_26_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	7379	7400
DENV1_26_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	7381	7402
DENV1_26_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	238	259
DENV1_26_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	7770	7791
DENV1_26_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	10036	10057
DENV1_26_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	6657	6678
DENV1_26_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	7766	7787
DENV1_27_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	7711	7733
DENV1_27_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	3030	3052
DENV1_27_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	7702	7724
DENV1_27_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	7707	7729
DENV1_27_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	8076	8097
DENV1_27_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	8065	8086
DENV1_27_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	8067	8088
DENV1_27_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	5494	5515
DENV1_28_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	8005	8028
DENV1_28_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	7994	8017
DENV1_28_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	7996	8019
DENV1_28_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	8001	8024
DENV1_28_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	8385	8408
DENV1_28_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	10024	10047
DENV1_28_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	8376	8399
DENV1_28_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	8384	8407
DENV1_29_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	8300	8319
DENV1_29_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	1035	1054
DENV1_29_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	8291	8310
DENV1_29_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	8299	8318
DENV1_29_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	8690	8709
DENV1_29_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	8682	8701
DENV1_29_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	8681	8700
DENV1_29_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	3907	3926
DENV1_30_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	8607	8628
DENV1_30_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	8599	8620
DENV1_30_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	8598	8619
DENV1_30_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	8606	8627
DENV1_31_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	8918	8940
DENV1_31_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	8910	8932
DENV1_31_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	8909	8931
DENV1_31_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	8917	8939
DENV1_31_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	9306	9326
DENV1_31_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	10600	10620
DENV1_31_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	908	928
DENV1_31_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	9305	9325
DENV1_32_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	9213	9236
DENV1_32_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	7176	7199
DENV1_32_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	1113	1136
DENV1_32_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	2663	2686
DENV1_32_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	9593	9614
DENV1_32_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	6942	6963
DENV1_32_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	2843	2864
DENV1_32_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	9592	9613
DENV1_33_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	9534	9555
DENV1_33_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	9529	9550
DENV1_33_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	9528	9549
DENV1_33_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	9533	9554
DENV1_33_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	9905	9925
DENV1_33_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	9085	9105
DENV1_33_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	9899	9919
DENV1_33_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	426	446
DENV1_34_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	9842	9863
DENV1_34_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	9837	9858
DENV1_34_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	8890	8911
DENV1_34_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	9841	9862
DENV1_34_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	10215	10241
DENV1_34_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	10210	10236
DENV1_34_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	10209	10235
DENV1_34_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	10214	10240
DENV1_35_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	10144	10164
DENV1_35_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	2024	2044
DENV1_35_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	9147	9167
DENV1_35_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	10143	10163
DENV1_35_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	10510	10531
DENV1_35_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	10419	10440
DENV1_35_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	10483	10504
DENV1_35_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	10496	10517
DENV2_1_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	14	33
DENV2_1_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	14	33
DENV2_1_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	14	33
DENV2_1_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	14	33
DENV2_1_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	458	479
DENV2_1_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	462	483
DENV2_1_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	458	479
DENV2_1_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	460	481
DENV2_2_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	367	389
DENV2_2_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	371	393
DENV2_2_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	8278	8300
DENV2_2_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	369	391
DENV2_2_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	752	775
DENV2_2_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	756	779
DENV2_2_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	752	775
