Amplicon_Length	Combination_Name	First_Round_End	First_Round_Start	Forward_Primer	Genotype	Reference	Region	Reverse_Primer	Round_Type
765	DEN3_F5396_F_DENV3_20_RIGHT_R	6189	5401	DEN3_F5396_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV3_20_RIGHT_R	first
625	DEN3_F5396_F_DENV3_24_RIGHT_R	6047	5401	DEN3_F5396_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV3_24_RIGHT_R	first
331	DEN4_F5299_F_D2_R	5647	5297	DEN4_F5299_F	DENV4	GCF_000862125.1_ViralProj15306_genomic	NS5	D2_R	first
1158	DEN4_F5299_F_D2_R	6470	5291	DEN4_F5299_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	D2_R	first
980	NS3-1-SEQ_F_DENV2_RN_R1_R	6834	5834	NS3-1-SEQ_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV2_RN_R1_R	first
923	NS3-1-SEQ_F_DOASSMFPSAGODV_6_R	6775	5834	NS3-1-SEQ_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS5	DOASSMFPSAGODV_6_R	first
1372	NS3-2-O_F_DOASSMFPSAGODV_6_R	6775	5385	NS3-2-O_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS5	DOASSMFPSAGODV_6_R	first
788	NS3-2-I_F_RPS29_R	6289	5482	NS3-2-I_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	RPS29_R	first
1006	NS3-2-I_F_NS3-2-O_R	6507	5482	NS3-2-I_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	NS3-2-O_R	first
1005	NS3-2-SEQ-I_F_DOASSMFPSAGODV_6_R	6775	5752	NS3-2-SEQ-I_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS5	DOASSMFPSAGODV_6_R	first
345	NS3-2-SEQ-I_F_RPS29_R	6110	5746	NS3-2-SEQ-I_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	RPS29_R	first
737	NS3-2-SEQ-I_F_NS3-2-O_R	6502	5746	NS3-2-SEQ-I_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	NS3-2-O_R	first
519	NS3-2-SEQ-I_F_RPS29_R	6289	5751	NS3-2-SEQ-I_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	RPS29_R	first
737	NS3-2-SEQ-I_F_NS3-2-O_R	6507	5751	NS3-2-SEQ-I_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	NS3-2-O_R	first
409	DV2.U_F_D2_R	1538	1108	DV2.U_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS1	D2_R	first
409	DV2.U_F_FAACOUFISPPAPR_4_R	1538	1108	DV2.U_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS1	FAACOUFISPPAPR_4_R	first
409	DV2.U_F_DEN-2_C_R	1538	1108	DV2.U_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS1	DEN-2_C_R	first
1018	DV2.U_F_D2_R	6470	5431	DV2.U_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	D2_R	first
1018	DV2.U_F_FAACOUFISPPAPR_4_R	6470	5431	DV2.U_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	FAACOUFISPPAPR_4_R	first
1234	P3_F_RPS29_R	6289	5036	P3_F	ALL	GCF_000871845.1_ViralProj20183_genomic	NS5	RPS29_R	first
455	D4S_F_DENV-4_R	3965	3492	D4S_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS3	DENV-4_R	first
1546	D3F791_F_1G4P217_R	6993	5428	D3F791_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	1G4P217_R	first
447	D3F791_F_D1_R	5894	5428	D3F791_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	D1_R	first
1527	D3F791_F_DEN3_REVERSE_R	6975	5428	D3F791_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	DEN3_REVERSE_R	first
407	D3F1187_F_GRP78_R	1617	1191	D3F1187_F	DENV3	GCF_000865065.1_ViralProj15599_genomic	NS1	GRP78_R	first
396	DENV-2_F_DENV-2_R	1492	1078	DENV-2_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	DENV-2_R	first
441	DENV-2_F_DENV-2_R	1540	1078	DENV-2_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	DENV-2_R	first
386	FORWARD_F_DENV2_8_RIGHT_R	3596	3189	FORWARD_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS3	DENV2_8_RIGHT_R	first
417	DEN-2_F_DENV2_5_RIGHT_R	1591	1153	DEN-2_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS1	DENV2_5_RIGHT_R	first
368	DEN-2_F_DENV-2_R	1542	1153	DEN-2_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS1	DENV-2_R	first
411	DEN-2_F_DENV2_5_RIGHT_R	1581	1149	DEN-2_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS1	DENV2_5_RIGHT_R	first
417	DEN-2_F_DENV2_5_RIGHT_R	1589	1151	DEN-2_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	DENV2_5_RIGHT_R	first
323	DEN-2_F_DENV-2_R	1492	1151	DEN-2_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	DENV-2_R	first
368	DEN-2_F_DENV-2_R	1540	1151	DEN-2_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	DENV-2_R	first
518	DEN-2_F_DENV2_5_RIGHT_R	1587	1048	DEN-2_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS1	DENV2_5_RIGHT_R	first
516	DEN-2_F_DENV2_16_RIGHT_R	1585	1048	DEN-2_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS1	DENV2_16_RIGHT_R	first
469	DEN-2_F_DENV-2_R	1538	1048	DEN-2_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS1	DENV-2_R	first
518	DEN-2_F_DENV2_5_RIGHT_R	1591	1052	DEN-2_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS1	DENV2_5_RIGHT_R	first
469	DEN-2_F_DENV-2_R	1542	1052	DEN-2_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS1	DENV-2_R	first
518	DEN-2_F_DENV2_5_RIGHT_R	1589	1050	DEN-2_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	DENV2_5_RIGHT_R	first
424	DEN-2_F_DENV-2_R	1492	1050	DEN-2_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	DENV-2_R	first
469	DEN-2_F_DENV-2_R	1540	1050	DEN-2_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	DENV-2_R	first
459	CF40FBAMHI_F_DEN2_CC_1_R	1531	1049	CF40FBAMHI_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS1	DEN2_CC_1_R	first
402	D1SEQ8_F_DENV1_28_R	1910	1486	D1SEQ8_F	DENV1	GCF_000871845.1_ViralProj20183_genomic	NS1	DENV1_28_R	first
334	D4SEQ2_F_RSS23_R	1622	1270	D4SEQ2_F	DENV4	GCF_000865065.1_ViralProj15599_genomic	NS1	RSS23_R	first
334	D4SEQ2_F_RSS23_R	1620	1268	D4SEQ2_F	DENV4	GCF_000871845.1_ViralProj20183_genomic	NS1	RSS23_R	first
485	D4SEQ4_F_RSS24_R	6135	5627	D4SEQ4_F	DENV4	GCF_000862125.1_ViralProj15306_genomic	NS5	RSS24_R	first
1278	1437-1458_F_2G2P5_R	6307	5009	1437-1458_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS5	2G2P5_R	first
944	1437-1458_F_P1_R	5973	5009	1437-1458_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS5	P1_R	first
389	DENV2C_F_P1_R	1536	1127	DENV2C_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	P1_R	first
347	DENV2C_F_DENV-2_R	1492	1127	DENV2C_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	DENV-2_R	first
392	DENV2C_F_DENV-2_R	1540	1127	DENV2C_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	DENV-2_R	first
404	DENV2C_F_DEN-2_R	1550	1127	DENV2C_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	DEN-2_R	first
450	DEN3_FORWARD_F_D3R1758_R	6534	6065	DEN3_FORWARD_F	DENV3	GCF_000865065.1_ViralProj15599_genomic	NS5	D3R1758_R	first
1263	DEN3_FORWARD_F_RPS29_R	6289	5007	DEN3_FORWARD_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	RPS29_R	first
1409	DEN3_FORWARD_F_D3R1758_R	6435	5007	DEN3_FORWARD_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	D3R1758_R	first
848	DEN4_FORWARD_F_RPS29_R	6110	5243	DEN4_FORWARD_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	RPS29_R	first
491	DEN_E-5B_F_GRP78_R	1617	1107	DEN_E-5B_F	ALL	GCF_000865065.1_ViralProj15599_genomic	NS1	GRP78_R	first
310	CYD4_F_DENV4_15_RIGHT_R	6646	6315	CYD4_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV4_15_RIGHT_R	first
316	D2S_F_DENV-2_R	1540	1203	D2S_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	DENV-2_R	first
58	DENV1_6_LEFT_F_DENV1_5_RIGHT_R	1720	1641	DENV1_6_LEFT_F	DENV1	GCF_000862125.1_ViralProj15306_genomic	NS1	DENV1_5_RIGHT_R	second
58	DENV1_6_LEFT_F_DENV1_5_RIGHT_R	1714	1635	DENV1_6_LEFT_F	DENV1	GCF_000866625.1_ViralProj15598_genomic	NS1	DENV1_5_RIGHT_R	second
40	DENV1_17_LEFT_F_DENV1_5_RIGHT_R	1724	1663	DENV1_17_LEFT_F	DENV1	GCF_000865065.1_ViralProj15599_genomic	NS1	DENV1_5_RIGHT_R	second
69	DENV1_13_LEFT_F_DENV1_18_RIGHT_R	5419	5331	DENV1_13_LEFT_F	DENV1	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV1_18_RIGHT_R	second
38	DENV1_13_LEFT_F_DENV1_18_RIGHT_R	5417	5360	DENV1_13_LEFT_F	DENV1	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV1_18_RIGHT_R	second
94	1437-1458_F_DEN-2_R	1550	1437	1437-1458_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	DEN-2_R	second
98	DENV2C_F_DEN-2_R	1542	1425	DENV2C_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS1	DEN-2_R	second
29	DEN2_CC_1_F_DEN2_CC_1_R	1531	1479	DEN2_CC_1_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS1	DEN2_CC_1_R	second
15	DENV2_6_LEFT_F_D2_R	1538	1502	DENV2_6_LEFT_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS1	D2_R	second
15	DENV2_6_LEFT_F_D2_R	1542	1506	DENV2_6_LEFT_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS1	D2_R	second
15	DENV2_6_LEFT_F_D2_R	1540	1504	DENV2_6_LEFT_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	D2_R	second
33	D1SEQ8_F_D2_R	1538	1484	D1SEQ8_F	DENV1	GCF_000862125.1_ViralProj15306_genomic	NS1	D2_R	second
33	D1SEQ8_F_D2_R	1540	1486	D1SEQ8_F	DENV1	GCF_000871845.1_ViralProj20183_genomic	NS1	D2_R	second
15	DENV2_6_LEFT_F_FAACOUFISPPAPR_4_R	1538	1502	DENV2_6_LEFT_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS1	FAACOUFISPPAPR_4_R	second
15	DENV2_6_LEFT_F_FAACOUFISPPAPR_4_R	1542	1506	DENV2_6_LEFT_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS1	FAACOUFISPPAPR_4_R	second
15	DENV2_6_LEFT_F_FAACOUFISPPAPR_4_R	1540	1504	DENV2_6_LEFT_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	FAACOUFISPPAPR_4_R	second
8	DENV2_23_LEFT_F_DENV2C_R	6151	6121	DENV2_23_LEFT_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV2C_R	second
55	DENV2_25_LEFT_F_MATK-1326_R	6439	6363	DENV2_25_LEFT_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	MATK-1326_R	second
23	DENV2_SP2_F_MATK-1326_R	6439	6395	DENV2_SP2_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	MATK-1326_R	second
75	DENV3_6_LEFT_F_DENV3_5_RIGHT_R	1647	1550	DENV3_6_LEFT_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS1	DENV3_5_RIGHT_R	second
75	DENV3_6_LEFT_F_DENV3_5_RIGHT_R	1641	1544	DENV3_6_LEFT_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS1	DENV3_5_RIGHT_R	second
15	DENV3_11_F_D3_R	3162	3123	DENV3_11_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS3	D3_R	second
68	DENV4_18_LEFT_F_DENV4_17_RIGHT_R	5419	5332	DENV4_18_LEFT_F	DENV4	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV4_17_RIGHT_R	second
68	DENV4_18_LEFT_F_DENV4_17_RIGHT_R	5412	5325	DENV4_18_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV4_17_RIGHT_R	second
58	DENV4_26_LEFT_F_D4A6_R	1380	1301	DENV4_26_LEFT_F	DENV4	GCF_000862125.1_ViralProj15306_genomic	NS1	D4A6_R	second
65	DENV3_22_LEFT_F_DENV3_21_RIGHT_R	6504	6420	DENV3_22_LEFT_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV3_21_RIGHT_R	second
18	DOASSMFPSAGODV_3_F_GRP78_R	1617	1580	DOASSMFPSAGODV_3_F	DENV1	GCF_000865065.1_ViralProj15599_genomic	NS1	GRP78_R	second
99	DEN3_F5396_F_DEN3_R5517_R	5523	5402	DEN3_F5396_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DEN3_R5517_R	second
99	DEN3_F5396_F_DEN3_R5517_R	5524	5403	DEN3_F5396_F	DENV3	GCF_000865065.1_ViralProj15599_genomic	NS5	DEN3_R5517_R	second
99	DEN3_F5396_F_DEN3_R5517_R	5517	5396	DEN3_F5396_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS5	DEN3_R5517_R	second
99	DEN3_F5396_F_DEN3_R5517_R	5522	5401	DEN3_F5396_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	DEN3_R5517_R	second
15	DENV2_6_LEFT_F_DEN-2_C_R	1538	1502	DENV2_6_LEFT_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS1	DEN-2_C_R	second
15	DENV2_6_LEFT_F_DEN-2_C_R	1542	1506	DENV2_6_LEFT_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS1	DEN-2_C_R	second
15	DENV2_6_LEFT_F_DEN-2_C_R	1540	1504	DENV2_6_LEFT_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	DEN-2_C_R	second
92	P3_F_P3_R	5147	5036	P3_F	ALL	GCF_000871845.1_ViralProj20183_genomic	NS5	P3_R	second
11	DENV-2_F_DENV-2_R	1492	1463	DENV-2_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	DENV-2_R	second
56	DENV-2_F_DENV-2_R	1540	1463	DENV-2_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	DENV-2_R	second
11	DEN-2_F_DENV-2_R	1492	1463	DEN-2_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	DENV-2_R	second
56	DEN-2_F_DENV-2_R	1540	1463	DEN-2_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	DENV-2_R	second
11	FAACOUFISPPAPR_3_F_DENV-2_R	1492	1463	FAACOUFISPPAPR_3_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	DENV-2_R	second
56	FAACOUFISPPAPR_3_F_DENV-2_R	1540	1463	FAACOUFISPPAPR_3_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	DENV-2_R	second
45	DENV2_SP2_F_DENV2_8_RIGHT_R	3596	3530	DENV2_SP2_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS3	DENV2_8_RIGHT_R	second
72	DEN-2_F_DENV2_8_RIGHT_R	1141	1048	DEN-2_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS1	DENV2_8_RIGHT_R	second
64	DENV2_6_LEFT_F_DENV2_5_RIGHT_R	1587	1502	DENV2_6_LEFT_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS1	DENV2_5_RIGHT_R	second
64	DENV2_6_LEFT_F_DENV2_5_RIGHT_R	1591	1506	DENV2_6_LEFT_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS1	DENV2_5_RIGHT_R	second
