Amplicon_Length	Combination_Name	Forward_Primer	Genotype	Reference	Region	Reverse_Primer
698	DENV3_20_LEFT_F_DENV3_21_RIGHT_R	DENV3_20_LEFT_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV3_21_RIGHT_R
769	DENV3_20_LEFT_F_DENV3_34_RIGHT_R	DENV3_20_LEFT_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV3_34_RIGHT_R
360	DENV3_21_LEFT_F_D2_R	DENV3_21_LEFT_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS5	D2_R
364	DENV3_22_LEFT_F_DEN3-1752_R	DENV3_22_LEFT_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS1	DEN3-1752_R
452	DENV4_11_LEFT_F_DENV4_21_RIGHT_R	DENV4_11_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV4_21_RIGHT_R
588	DENV4_11_LEFT_F_DENV4_22_RIGHT_R	DENV4_11_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV4_22_RIGHT_R
589	DENV4_11_LEFT_F_DENV4_28_RIGHT_R	DENV4_11_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV4_28_RIGHT_R
507	DENV4_12_LEFT_F_DENV4_RN_R1_R	DENV4_12_LEFT_F	DENV4	GCF_000871845.1_ViralProj20183_genomic	NS3	DENV4_RN_R1_R
447	DENV4_17_LEFT_F_D4_R	DENV4_17_LEFT_F	DENV4	GCF_000865065.1_ViralProj15599_genomic	NS5	D4_R
855	DENV4_17_LEFT_F_D4_R	DENV4_17_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	D4_R
540	DENV4_18_LEFT_F_D4_R	DENV4_18_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	D4_R
690	DENV4_19_LEFT_F_DENV4_20_RIGHT_R	DENV4_19_LEFT_F	DENV4	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV4_20_RIGHT_R
806	DENV4_19_LEFT_F_DOASSMFPSAGODV_10_R	DENV4_19_LEFT_F	DENV4	GCF_000862125.1_ViralProj15306_genomic	NS5	DOASSMFPSAGODV_10_R
690	DENV4_19_LEFT_F_DENV4_20_RIGHT_R	DENV4_19_LEFT_F	DENV4	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV4_20_RIGHT_R
386	DENV4_20_LEFT_F_DENV4_20_RIGHT_R	DENV4_20_LEFT_F	DENV4	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV4_20_RIGHT_R
704	DENV4_20_LEFT_F_DENV4_21_RIGHT_R	DENV4_20_LEFT_F	DENV4	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV4_21_RIGHT_R
486	DENV4_21_LEFT_F_DENV4_1_RIGHT_R	DENV4_21_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV4_1_RIGHT_R
376	DENV4_21_LEFT_F_DENV4_15_RIGHT_R	DENV4_21_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV4_15_RIGHT_R
649	DENV4_26_LEFT_F_DENV4_4_RIGHT_R	DENV4_26_LEFT_F	DENV4	GCF_000862125.1_ViralProj15306_genomic	NS1	DENV4_4_RIGHT_R
392	DENV4_26_LEFT_F_D2_R	DENV4_26_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	D2_R
678	DENV4_26_LEFT_F_DENV4_1_RIGHT_R	DENV4_26_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV4_1_RIGHT_R
1023	DENV4_27_LEFT_F_D2_R	DENV4_27_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	D2_R
897	DENV4_27_LEFT_F_DENV4_20_RIGHT_R	DENV4_27_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV4_20_RIGHT_R
439	DENV4_27_LEFT_F_D4_R	DENV4_27_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	D4_R
753	D2L_F_RPS29_R	D2L_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	RPS29_R
364	DENV3_SP2_F_DENV3_21_RIGHT_R	DENV3_SP2_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV3_21_RIGHT_R
435	DENV3_SP2_F_DENV3_34_RIGHT_R	DENV3_SP2_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV3_34_RIGHT_R
456	DENV1_7_F_D2_R	DENV1_7_F	DENV1	GCF_000862125.1_ViralProj15306_genomic	NS1	D2_R
680	DENV1_21_F_DEN1_CC_3_R	DENV1_21_F	DENV1	GCF_000862125.1_ViralProj15306_genomic	NS5	DEN1_CC_3_R
680	DENV1_21_F_DEN1_CC_3_R	DENV1_21_F	DENV1	GCF_000865065.1_ViralProj15599_genomic	NS5	DEN1_CC_3_R
480	DENV1_21_F_DENV1_30_R	DENV1_21_F	DENV1	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV1_30_R
680	DENV1_21_F_DEN1_CC_3_R	DENV1_21_F	DENV1	GCF_000866625.1_ViralProj15598_genomic	NS5	DEN1_CC_3_R
315	DENV1_21_F_D1_R	DENV1_21_F	DENV1	GCF_000871845.1_ViralProj20183_genomic	NS5	D1_R
680	DENV1_21_F_DEN1_CC_3_R	DENV1_21_F	DENV1	GCF_000871845.1_ViralProj20183_genomic	NS5	DEN1_CC_3_R
591	DENV2_15_F_DEN2_CC_1_R	DENV2_15_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	DEN2_CC_1_R
509	DENV2_19_F_D1_R	DENV2_19_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS5	D1_R
705	DENV2_19_F_D1_R	DENV2_19_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	D1_R
867	DENV2_19_F_DENV2_20_R	DENV2_19_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV2_20_R
534	DENV2_21_F_DENV2_20_R	DENV2_21_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV2_20_R
951	DENV2_21_F_D2_R	DENV2_21_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	D2_R
534	DENV2_21_F_DENV2_20_R	DENV2_21_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV2_20_R
1026	DENV2_21_F_DENV2_22_R	DENV2_21_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV2_22_R
413	DENV3_11_F_D3_R	DENV3_11_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS3	D3_R
444	DENV3_11_F_DENV3_12_R	DENV3_11_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS3	DENV3_12_R
362	DENV3_11_F_CLTC_R	DENV3_11_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS3	CLTC_R
490	DENV3_17_F_D2_R	DENV3_17_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	D2_R
702	DENV3_19_F_D3_R	DENV3_19_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	D3_R
441	DENV4_19_F_D4_R	DENV4_19_F	DENV4	GCF_000865065.1_ViralProj15599_genomic	NS5	D4_R
301	DENV2_RN_F2_F_DEN-2_R	DENV2_RN_F2_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS1	DEN-2_R
366	DENV2_RN_F2_F_GRP78_R	DENV2_RN_F2_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS1	GRP78_R
301	DENV2_RN_F2_F_DEN-2_R	DENV2_RN_F2_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS1	DEN-2_R
702	DENV2_RN_F2_F_DENV2_27_RIGHT_R	DENV2_RN_F2_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS1	DENV2_27_RIGHT_R
398	DENV2_RN_F2_F_DNM2_R	DENV2_RN_F2_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS1	DNM2_R
301	DENV2_RN_F2_F_DEN-2_R	DENV2_RN_F2_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	DEN-2_R
569	DENV3_RN_F1_F_DENV3_5_RIGHT_R	DENV3_RN_F1_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS1	DENV3_5_RIGHT_R
761	DENV3_RN_F1_F_PRIMER_4_R	DENV3_RN_F1_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS1	PRIMER_4_R
593	DENV3_RN_F1_F_DENV3_21_RIGHT_R	DENV3_RN_F1_F	DENV3	GCF_000865065.1_ViralProj15599_genomic	NS3	DENV3_21_RIGHT_R
563	DENV3_RN_F1_F_DENV3_5_RIGHT_R	DENV3_RN_F1_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS1	DENV3_5_RIGHT_R
886	DENV3_RN_F1_F_DENV3_6_RIGHT_R	DENV3_RN_F1_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS1	DENV3_6_RIGHT_R
671	DENV3_RN_F2_F_D3_R	DENV3_RN_F2_F	DENV3	GCF_000865065.1_ViralProj15599_genomic	NS1	D3_R
412	DENV3_RN_F2_F_GRP78_R	DENV3_RN_F2_F	DENV3	GCF_000865065.1_ViralProj15599_genomic	NS1	GRP78_R
570	DENV3_RN_F2_F_DEN3-1752_R	DENV3_RN_F2_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS1	DEN3-1752_R
804	DENV4_RN_F2_F_D4_R	DENV4_RN_F2_F	DENV4	GCF_000871845.1_ViralProj20183_genomic	NS1	D4_R
707	1162_F_REV1209-1226_R	1162_F	DENV4	GCF_000865065.1_ViralProj15599_genomic	NS1	REV1209-1226_R
622	1721_F_DENV-4_R	1721_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS3	DENV-4_R
798	GRP78_F_RPL27_R	GRP78_F	ALL	GCF_000871845.1_ViralProj20183_genomic	NS5	RPL27_R
589	DEN1_F5132_F_DENV1_19_RIGHT_R	DEN1_F5132_F	DENV1	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV1_19_RIGHT_R
589	DEN1_F5132_F_DENV1_19_RIGHT_R	DEN1_F5132_F	DENV1	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV1_19_RIGHT_R
589	DEN1_F5132_F_DENV1_19_RIGHT_R	DEN1_F5132_F	DENV1	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV1_19_RIGHT_R
589	DEN1_F5132_F_DENV1_19_RIGHT_R	DEN1_F5132_F	DENV1	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV1_19_RIGHT_R
341	DEN1_F5132_F_DEN-1_R	DEN1_F5132_F	DENV1	GCF_000871845.1_ViralProj20183_genomic	NS5	DEN-1_R
987	DEN2_F5228_F_DENV2_SP5_R	DEN2_F5228_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV2_SP5_R
321	DEN2_F5228_F_DENV2_18_R	DEN2_F5228_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV2_18_R
321	DEN2_F5228_F_DENV2_18_R	DEN2_F5228_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV2_18_R
321	DEN2_F5228_F_DENV2_18_R	DEN2_F5228_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV2_18_R
716	DEN2_F5228_F_NS3_ANTISENSE_R	DEN2_F5228_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	NS3_ANTISENSE_R
765	DEN3_F5396_F_DENV3_20_RIGHT_R	DEN3_F5396_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV3_20_RIGHT_R
917	DEN3_F5396_F_DEN3_CC_4_R	DEN3_F5396_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DEN3_CC_4_R
685	DEN3_F5396_F_DENV3_20_RIGHT_R	DEN3_F5396_F	DENV3	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV3_20_RIGHT_R
625	DEN3_F5396_F_DENV3_24_RIGHT_R	DEN3_F5396_F	DENV3	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV3_24_RIGHT_R
765	DEN3_F5396_F_DENV3_20_RIGHT_R	DEN3_F5396_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV3_20_RIGHT_R
765	DEN3_F5396_F_DENV3_20_RIGHT_R	DEN3_F5396_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV3_20_RIGHT_R
625	DEN3_F5396_F_DENV3_24_RIGHT_R	DEN3_F5396_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV3_24_RIGHT_R
331	DEN4_F5299_F_D2_R	DEN4_F5299_F	DENV4	GCF_000862125.1_ViralProj15306_genomic	NS5	D2_R
758	DEN4_F5299_F_DV.L2_R	DEN4_F5299_F	DENV4	GCF_000871845.1_ViralProj20183_genomic	NS5	DV.L2_R
545	NS3-1-O_F_NS3-1-I_R	NS3-1-O_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS1	NS3-1-I_R
640	NS3-1-O_F_D2R2099_R	NS3-1-O_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS1	D2R2099_R
980	NS3-1-SEQ_F_DENV2_RN_R1_R	NS3-1-SEQ_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV2_RN_R1_R
923	NS3-1-SEQ_F_DOASSMFPSAGODV_6_R	NS3-1-SEQ_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS5	DOASSMFPSAGODV_6_R
829	NS3-1-SEQ_F_DENV2_3_RIGHT_R	NS3-1-SEQ_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS3	DENV2_3_RIGHT_R
788	NS3-2-I_F_RPS29_R	NS3-2-I_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	RPS29_R
1006	NS3-2-I_F_NS3-2-O_R	NS3-2-I_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	NS3-2-O_R
1005	NS3-2-SEQ-I_F_DOASSMFPSAGODV_6_R	NS3-2-SEQ-I_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS5	DOASSMFPSAGODV_6_R
345	NS3-2-SEQ-I_F_RPS29_R	NS3-2-SEQ-I_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	RPS29_R
737	NS3-2-SEQ-I_F_NS3-2-O_R	NS3-2-SEQ-I_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	NS3-2-O_R
519	NS3-2-SEQ-I_F_RPS29_R	NS3-2-SEQ-I_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	RPS29_R
737	NS3-2-SEQ-I_F_NS3-2-O_R	NS3-2-SEQ-I_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	NS3-2-O_R
409	DV2.U_F_D2_R	DV2.U_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS1	D2_R
458	DV2.U_F_DENV2_5_RIGHT_R	DV2.U_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS1	DENV2_5_RIGHT_R
456	DV2.U_F_DENV2_16_RIGHT_R	DV2.U_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS1	DENV2_16_RIGHT_R
409	DV2.U_F_DENV-2_R	DV2.U_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS1	DENV-2_R
409	DV2.U_F_FAACOUFISPPAPR_4_R	DV2.U_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS1	FAACOUFISPPAPR_4_R
409	DV2.U_F_DEN-2_C_R	DV2.U_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS1	DEN-2_C_R
1018	DV2.U_F_D2_R	DV2.U_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	D2_R
1018	DV2.U_F_FAACOUFISPPAPR_4_R	DV2.U_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	FAACOUFISPPAPR_4_R
492	DENV4_F_DENV4_RN_R1_R	DENV4_F	DENV4	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV4_RN_R1_R
642	DENV4_F_D2_R	DENV4_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	D2_R
928	DENV4_F_DENV4_1_RIGHT_R	DENV4_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV4_1_RIGHT_R
818	DENV4_F_DENV4_15_RIGHT_R	DENV4_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV4_15_RIGHT_R
