Amplicon_Length	Combination_Name	Forward_Primer	Reference	Reverse_Primer
716	2G2P5_F_DENV4_32_RIGHT_R	2G2P5_F	GCF_000862125.1_ViralProj15306_genomic	DENV4_32_RIGHT_R
889	2G2P5_F_DENV1_SP4_R	2G2P5_F	GCF_000862125.1_ViralProj15306_genomic	DENV1_SP4_R
651	2G2P5_F_DENV1_34_R	2G2P5_F	GCF_000862125.1_ViralProj15306_genomic	DENV1_34_R
715	2G2P5_F_Den4_R8508_R	2G2P5_F	GCF_000862125.1_ViralProj15306_genomic	Den4_R8508_R
940	2G2P5_F_DENV1_R	2G2P5_F	GCF_000862125.1_ViralProj15306_genomic	DENV1_R
290	2G2P5_F_DEN1_CC_5_R	2G2P5_F	GCF_000862125.1_ViralProj15306_genomic	DEN1_CC_5_R
295	2G2P5_F_DEN3_CC_5_R	2G2P5_F	GCF_000862125.1_ViralProj15306_genomic	DEN3_CC_5_R
887	2G2P5_F_S07100620_RT_R	2G2P5_F	GCF_000862125.1_ViralProj15306_genomic	S07100620_RT_R
455	2G2P5_F_QST-D2AL_R	2G2P5_F	GCF_000862125.1_ViralProj15306_genomic	QST-D2AL_R
551	2G2P5_F_DENV2_32_R	2G2P5_F	GCF_000862125.1_ViralProj15306_genomic	DENV2_32_R
556	2G2P5_F_DENV3_30_R	2G2P5_F	GCF_000862125.1_ViralProj15306_genomic	DENV3_30_R
790	2G2P5_F_DENV4_32_R	2G2P5_F	GCF_000862125.1_ViralProj15306_genomic	DENV4_32_R
962	2G2P5_F_DENV1_26_RIGHT_R	2G2P5_F	GCF_000865065.1_ViralProj15599_genomic	DENV1_26_RIGHT_R
950	2G2P5_F_DENV1_28_RIGHT_R	2G2P5_F	GCF_000865065.1_ViralProj15599_genomic	DENV1_28_RIGHT_R
716	2G2P5_F_DENV2_15_RIGHT_R	2G2P5_F	GCF_000865065.1_ViralProj15599_genomic	DENV2_15_RIGHT_R
215	2G2P5_F_DENV3_30_RIGHT_R	2G2P5_F	GCF_000865065.1_ViralProj15599_genomic	DENV3_30_RIGHT_R
237	2G2P5_F_DENV4_30_RIGHT_R	2G2P5_F	GCF_000865065.1_ViralProj15599_genomic	DENV4_30_RIGHT_R
519	2G2P5_F_D1_R	2G2P5_F	GCF_000865065.1_ViralProj15599_genomic	D1_R
566	2G2P5_F_DENV3_SP5_R	2G2P5_F	GCF_000865065.1_ViralProj15599_genomic	DENV3_SP5_R
947	2G2P5_F_DENV1_8_R	2G2P5_F	GCF_000865065.1_ViralProj15599_genomic	DENV1_8_R
580	2G2P5_F_DENV3_6_R	2G2P5_F	GCF_000865065.1_ViralProj15599_genomic	DENV3_6_R
916	2G2P5_F_DENV3_12_R	2G2P5_F	GCF_000865065.1_ViralProj15599_genomic	DENV3_12_R
804	2G2P5_F_DodvRipaposdibutTaas_6_R	2G2P5_F	GCF_000865065.1_ViralProj15599_genomic	DodvRipaposdibutTaas_6_R
649	2G2P5_F_DodvRipaposdibutTaas_8_R	2G2P5_F	GCF_000865065.1_ViralProj15599_genomic	DodvRipaposdibutTaas_8_R
981	2G2P5_F_DENV-2_R	2G2P5_F	GCF_000865065.1_ViralProj15599_genomic	DENV-2_R
655	2G2P5_F_Cebeof_3_R	2G2P5_F	GCF_000865065.1_ViralProj15599_genomic	Cebeof_3_R
203	2G2P5_F_DENV1_16_R	2G2P5_F	GCF_000865065.1_ViralProj15599_genomic	DENV1_16_R
348	2G2P5_F_DENV2_SP5_R	2G2P5_F	GCF_000866625.1_ViralProj15598_genomic	DENV2_SP5_R
272	2G2P5_F_DENV1_28_R	2G2P5_F	GCF_000866625.1_ViralProj15598_genomic	DENV1_28_R
377	2G2P5_F_P4_R	2G2P5_F	GCF_000866625.1_ViralProj15598_genomic	P4_R
235	2G2P5_F_DEN2_CC_5_R	2G2P5_F	GCF_000866625.1_ViralProj15598_genomic	DEN2_CC_5_R
789	2G2P5_F_CYD1_R	2G2P5_F	GCF_000866625.1_ViralProj15598_genomic	CYD1_R
785	2G2P5_F_Den-4_R	2G2P5_F	GCF_000866625.1_ViralProj15598_genomic	Den-4_R
662	2G2P5_F_DENV3_9_RIGHT_R	2G2P5_F	GCF_000871845.1_ViralProj20183_genomic	DENV3_9_RIGHT_R
151	2G2P5_F_DENV3_28_R	2G2P5_F	GCF_000866625.1_ViralProj15598_genomic	DENV3_28_R
169	1G3P6_F_1G1P1_R	1G3P6_F	GCF_000862125.1_ViralProj15306_genomic	1G1P1_R
160	1G3P6_F_1G3P6_R	1G3P6_F	GCF_000862125.1_ViralProj15306_genomic	1G3P6_R
191	1G3P6_F_DENV3_35_RIGHT_R	1G3P6_F	GCF_000862125.1_ViralProj15306_genomic	DENV3_35_RIGHT_R
155	1G3P6_F_DENV2_36_R	1G3P6_F	GCF_000862125.1_ViralProj15306_genomic	DENV2_36_R
177	1G3P6_F_DENV-3′-UTR_R	1G3P6_F	GCF_000862125.1_ViralProj15306_genomic	DENV-3′-UTR_R
168	1G3P6_F_DENV_R1-3_R	1G3P6_F	GCF_000862125.1_ViralProj15306_genomic	DENV_R1-3_R
168	1G3P6_F_DENV_R4_R	1G3P6_F	GCF_000862125.1_ViralProj15306_genomic	DENV_R4_R
186	1G3P6_F_DenAs_R	1G3P6_F	GCF_000862125.1_ViralProj15306_genomic	DenAs_R
208	1G3P6_F_D2-10723_RV_R	1G3P6_F	GCF_000862125.1_ViralProj15306_genomic	D2-10723_RV_R
207	1G3P6_F_Primer_3_R	1G3P6_F	GCF_000862125.1_ViralProj15306_genomic	Primer_3_R
168	1G3P6_F_QST-D1L_R	1G3P6_F	GCF_000862125.1_ViralProj15306_genomic	QST-D1L_R
188	1G3P6_F_DortPfdaqoDV_2_R	1G3P6_F	GCF_000862125.1_ViralProj15306_genomic	DortPfdaqoDV_2_R
202	1G3P6_F_Dengue-2_R	1G3P6_F	GCF_000862125.1_ViralProj15306_genomic	Dengue-2_R
169	1G3P6_F_Smnfgsodv_6_R	1G3P6_F	GCF_000862125.1_ViralProj15306_genomic	Smnfgsodv_6_R
186	1G3P6_F_DV.L1_R	1G3P6_F	GCF_000862125.1_ViralProj15306_genomic	DV.L1_R
175	1G3P6_F_Fragment_B_R	1G3P6_F	GCF_000862125.1_ViralProj15306_genomic	Fragment_B_R
209	1G3P6_F_Cebeof_1_R	1G3P6_F	GCF_000862125.1_ViralProj15306_genomic	Cebeof_1_R
185	1G3P6_F_DENV1_31_RIGHT_R	1G3P6_F	GCF_000865065.1_ViralProj15599_genomic	DENV1_31_RIGHT_R
152	1G3P6_F_Den_R2_R	1G3P6_F	GCF_000865065.1_ViralProj15599_genomic	Den_R2_R
152	1G3P6_F_D3_R	1G3P6_F	GCF_000871845.1_ViralProj20183_genomic	D3_R
193	1G3P6_F_1453-1471_R	1G3P6_F	GCF_000871845.1_ViralProj20183_genomic	1453-1471_R
479	1G4P217_F_D2_R	1G4P217_F	GCF_000862125.1_ViralProj15306_genomic	D2_R
323	1G4P217_F_DENV1_1_RIGHT_R	1G4P217_F	GCF_000862125.1_ViralProj15306_genomic	DENV1_1_RIGHT_R
632	1G4P217_F_DENV1_2_RIGHT_R	1G4P217_F	GCF_000862125.1_ViralProj15306_genomic	DENV1_2_RIGHT_R
938	1G4P217_F_DENV1_3_RIGHT_R	1G4P217_F	GCF_000862125.1_ViralProj15306_genomic	DENV1_3_RIGHT_R
890	1G4P217_F_DENV2_3_RIGHT_R	1G4P217_F	GCF_000862125.1_ViralProj15306_genomic	DENV2_3_RIGHT_R
861	1G4P217_F_DENV3_3_RIGHT_R	1G4P217_F	GCF_000862125.1_ViralProj15306_genomic	DENV3_3_RIGHT_R
169	1G4P217_F_D1_R	1G4P217_F	GCF_000862125.1_ViralProj15306_genomic	D1_R
379	1G4P217_F_D3_R	1G4P217_F	GCF_000862125.1_ViralProj15306_genomic	D3_R
636	1G4P217_F_D4_R	1G4P217_F	GCF_000862125.1_ViralProj15306_genomic	D4_R
630	1G4P217_F_DencomR2_R	1G4P217_F	GCF_000862125.1_ViralProj15306_genomic	DencomR2_R
222	1G4P217_F_P2_R	1G4P217_F	GCF_000862125.1_ViralProj15306_genomic	P2_R
871	1G4P217_F_RSS12_R	1G4P217_F	GCF_000862125.1_ViralProj15306_genomic	RSS12_R
786	1G4P217_F_D2-C_R	1G4P217_F	GCF_000862125.1_ViralProj15306_genomic	D2-C_R
711	1G4P217_F_DENV-3_R	1G4P217_F	GCF_000862125.1_ViralProj15306_genomic	DENV-3_R
461	1G4P217_F_TS1.2013TH_R	1G4P217_F	GCF_000862125.1_ViralProj15306_genomic	TS1.2013TH_R
476	1G4P217_F_8_R	1G4P217_F	GCF_000862125.1_ViralProj15306_genomic	8_R
367	1G4P217_F_TS4_R	1G4P217_F	GCF_000862125.1_ViralProj15306_genomic	TS4_R
188	1G4P217_F_D1-TS1_R	1G4P217_F	GCF_000862125.1_ViralProj15306_genomic	D1-TS1_R
413	1G4P217_F_NS2A-minus_R	1G4P217_F	GCF_000862125.1_ViralProj15306_genomic	NS2A-minus_R
550	1G4P217_F_7_R	1G4P217_F	GCF_000862125.1_ViralProj15306_genomic	7_R
834	1G4P217_F_DEN-4_C_R	1G4P217_F	GCF_000862125.1_ViralProj15306_genomic	DEN-4_C_R
977	1G4P217_F_DatodvboRhma_2_R	1G4P217_F	GCF_000862125.1_ViralProj15306_genomic	DatodvboRhma_2_R
187	1G4P217_F_rTS1_R	1G4P217_F	GCF_000862125.1_ViralProj15306_genomic	rTS1_R
235	1G4P217_F_rTS4_R	1G4P217_F	GCF_000862125.1_ViralProj15306_genomic	rTS4_R
189	1G4P217_F_D1R2297_R	1G4P217_F	GCF_000865065.1_ViralProj15599_genomic	D1R2297_R
747	1G4P217_F_DENV-4_R	1G4P217_F	GCF_000865065.1_ViralProj15599_genomic	DENV-4_R
787	1G4P217_F_4_R	1G4P217_F	GCF_000865065.1_ViralProj15599_genomic	4_R
262	1G4P217_F_1G4P217_R	1G4P217_F	GCF_000866625.1_ViralProj15598_genomic	1G4P217_R
773	1G4P217_F_DENV1_31_RIGHT_R	1G4P217_F	GCF_000866625.1_ViralProj15598_genomic	DENV1_31_RIGHT_R
484	1G4P217_F_GAPDH_R	1G4P217_F	GCF_000866625.1_ViralProj15598_genomic	GAPDH_R
445	1G4P217_F_P1_R	1G4P217_F	GCF_000866625.1_ViralProj15598_genomic	P1_R
313	1G4P217_F_DEN-3_Reverse_R	1G4P217_F	GCF_000866625.1_ViralProj15598_genomic	DEN-3_Reverse_R
908	1G4P217_F_6_R	1G4P217_F	GCF_000866625.1_ViralProj15598_genomic	6_R
539	1G4P217_F_b2_R	1G4P217_F	GCF_000866625.1_ViralProj15598_genomic	b2_R
218	1G4P217_F_Reverse_R	1G4P217_F	GCF_000866625.1_ViralProj15598_genomic	Reverse_R
265	1G4P217_F_TS3_R	1G4P217_F	GCF_000866625.1_ViralProj15598_genomic	TS3_R
814	1G4P217_F_DENV1_23_RIGHT_R	1G4P217_F	GCF_000871845.1_ViralProj20183_genomic	DENV1_23_RIGHT_R
289	1G4P217_F_DENV1_33_RIGHT_R	1G4P217_F	GCF_000871845.1_ViralProj20183_genomic	DENV1_33_RIGHT_R
414	1G4P217_F_DENV4_10_RIGHT_R	1G4P217_F	GCF_000871845.1_ViralProj20183_genomic	DENV4_10_RIGHT_R
482	1G4P217_F_DENV4_28_RIGHT_R	1G4P217_F	GCF_000871845.1_ViralProj20183_genomic	DENV4_28_RIGHT_R
847	1G4P217_F_DEN-2_R	1G4P217_F	GCF_000871845.1_ViralProj20183_genomic	DEN-2_R
742	1G5P30_F_1G1P1_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	1G1P1_R
733	1G5P30_F_1G3P6_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	1G3P6_R
491	1G5P30_F_1G5P30_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	1G5P30_R
293	1G5P30_F_DENV3_12_RIGHT_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	DENV3_12_RIGHT_R
591	1G5P30_F_DENV3_34_RIGHT_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	DENV3_34_RIGHT_R
574	1G5P30_F_DENV4_17_RIGHT_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	DENV4_17_RIGHT_R
406	1G5P30_F_DENV4_21_RIGHT_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	DENV4_21_RIGHT_R
723	1G5P30_F_D3_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	D3_R
360	1G5P30_F_D2C_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	D2C_R
489	1G5P30_F_DENV4_SP4_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	DENV4_SP4_R
750	1G5P30_F_DENV-3′-UTR_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	DENV-3′-UTR_R
661	1G5P30_F_Smnfgsodv_7_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	Smnfgsodv_7_R
699	1G5P30_F_D-R3_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	D-R3_R
626	1G5P30_F_D-L_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	D-L_R
162	1G5P30_F_DodvRipaposdibutTaas_4_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	DodvRipaposdibutTaas_4_R
741	1G5P30_F_DENV_R4_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	DENV_R4_R
448	1G5P30_F_NS3-2-O_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	NS3-2-O_R
696	1G5P30_F_Den_R2_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	Den_R2_R
658	1G5P30_F_Den_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	Den_R
272	1G5P30_F_P5_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	P5_R
388	1G5P30_F_D4C_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	D4C_R
759	1G5P30_F_DenAs_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	DenAs_R
781	1G5P30_F_D2-10723_RV_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	D2-10723_RV_R
683	1G5P30_F_QSP-D3L_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	QSP-D3L_R
684	1G5P30_F_QSP-D4L_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	QSP-D4L_R
741	1G5P30_F_QST-D1L_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	QST-D1L_R
702	1G5P30_F_QST-D3L_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	QST-D3L_R
748	1G5P30_F_DENV.3_P.QRA_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	DENV.3_P.QRA_R
761	1G5P30_F_DortPfdaqoDV_2_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	DortPfdaqoDV_2_R
167	1G5P30_F_Pohggtaitpbopwadhf_2_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	Pohggtaitpbopwadhf_2_R
162	1G5P30_F_Pohggtaitpbopwadhf_4_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	Pohggtaitpbopwadhf_4_R
742	1G5P30_F_Smnfgsodv_6_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	Smnfgsodv_6_R
759	1G5P30_F_DV.L1_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	DV.L1_R
748	1G5P30_F_Fragment_B_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	Fragment_B_R
782	1G5P30_F_Cebeof_1_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	Cebeof_1_R
703	1G5P30_F_QSP-D2L_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	QSP-D2L_R
672	1G5P30_F_DENV1_31_RIGHT_R	1G5P30_F	GCF_000865065.1_ViralProj15599_genomic	DENV1_31_RIGHT_R
219	1G5P30_F_DENV2_SP4_R	1G5P30_F	GCF_000865065.1_ViralProj15599_genomic	DENV2_SP4_R
637	1G5P30_F_GAPDH_R	1G5P30_F	GCF_000865065.1_ViralProj15599_genomic	GAPDH_R
364	1G5P30_F_NS3-2-I_R	1G5P30_F	GCF_000865065.1_ViralProj15599_genomic	NS3-2-I_R
225	1G5P30_F_D1C_R	1G5P30_F	GCF_000865065.1_ViralProj15599_genomic	D1C_R
508	1G5P30_F_DEN-1_R	1G5P30_F	GCF_000865065.1_ViralProj15599_genomic	DEN-1_R
191	1G5P30_F_Pohggtaitpbopwadhf_6_R	1G5P30_F	GCF_000865065.1_ViralProj15599_genomic	Pohggtaitpbopwadhf_6_R
509	1G5P30_F_TS1_R	1G5P30_F	GCF_000865065.1_ViralProj15599_genomic	TS1_R
297	1G5P30_F_DENV1_21_RIGHT_R	1G5P30_F	GCF_000866625.1_ViralProj15598_genomic	DENV1_21_RIGHT_R
297	1G5P30_F_DENV2_9_RIGHT_R	1G5P30_F	GCF_000866625.1_ViralProj15598_genomic	DENV2_9_RIGHT_R
248	1G5P30_F_RSS10_R	1G5P30_F	GCF_000866625.1_ViralProj15598_genomic	RSS10_R
519	1G5P30_F_CYD4_R	1G5P30_F	GCF_000866625.1_ViralProj15598_genomic	CYD4_R
555	1G5P30_F_rbcLa_R	1G5P30_F	GCF_000871845.1_ViralProj20183_genomic	rbcLa_R
753	1G5P30_F_1453-1471_R	1G5P30_F	GCF_000871845.1_ViralProj20183_genomic	1453-1471_R
415	1G5P30_F_6_R	1G5P30_F	GCF_000871845.1_ViralProj20183_genomic	6_R
232	1G5P30_F_10_R	1G5P30_F	GCF_000871845.1_ViralProj20183_genomic	10_R
287	1G5P30_F_Actin_R	1G5P30_F	GCF_000871845.1_ViralProj20183_genomic	Actin_R
460	MsoaiN_1_F_D2_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	D2_R
304	MsoaiN_1_F_DENV1_1_RIGHT_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	DENV1_1_RIGHT_R
613	MsoaiN_1_F_DENV1_2_RIGHT_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	DENV1_2_RIGHT_R
919	MsoaiN_1_F_DENV1_3_RIGHT_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	DENV1_3_RIGHT_R
304	MsoaiN_1_F_DENV2_1_RIGHT_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	DENV2_1_RIGHT_R
598	MsoaiN_1_F_DENV2_2_RIGHT_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	DENV2_2_RIGHT_R
871	MsoaiN_1_F_DENV2_3_RIGHT_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	DENV2_3_RIGHT_R
966	MsoaiN_1_F_DENV2_8_RIGHT_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	DENV2_8_RIGHT_R
536	MsoaiN_1_F_DENV3_2_RIGHT_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	DENV3_2_RIGHT_R
842	MsoaiN_1_F_DENV3_3_RIGHT_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	DENV3_3_RIGHT_R
807	MsoaiN_1_F_DENV4_27_RIGHT_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	DENV4_27_RIGHT_R
163	MsoaiN_1_F_D1_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	D1_R
360	MsoaiN_1_F_D3_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	D3_R
617	MsoaiN_1_F_D4_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	D4_R
611	MsoaiN_1_F_DencomR2_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	DencomR2_R
852	MsoaiN_1_F_RSS12_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	RSS12_R
767	MsoaiN_1_F_D2-C_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	D2-C_R
692	MsoaiN_1_F_DENV-3_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	DENV-3_R
440	MsoaiN_1_F_DEN-1_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	DEN-1_R
754	MsoaiN_1_F_Cebeof_3_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	Cebeof_3_R
318	MsoaiN_1_F_DEN4_reverse_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	DEN4_reverse_R
169	MsoaiN_1_F_D1-TS1_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	D1-TS1_R
441	MsoaiN_1_F_TS1_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	TS1_R
815	MsoaiN_1_F_DEN-4_C_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	DEN-4_C_R
958	MsoaiN_1_F_DatodvboRhma_2_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	DatodvboRhma_2_R
168	MsoaiN_1_F_rTS1_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	rTS1_R
216	MsoaiN_1_F_rTS4_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	rTS4_R
180	MsoaiN_1_F_1G1P1_R	MsoaiN_1_F	GCF_000865065.1_ViralProj15599_genomic	1G1P1_R
191	MsoaiN_1_F_DENV1_31_RIGHT_R	MsoaiN_1_F	GCF_000865065.1_ViralProj15599_genomic	DENV1_31_RIGHT_R
202	MsoaiN_1_F_DENV3_35_RIGHT_R	MsoaiN_1_F	GCF_000865065.1_ViralProj15599_genomic	DENV3_35_RIGHT_R
166	MsoaiN_1_F_DENV2_36_R	MsoaiN_1_F	GCF_000865065.1_ViralProj15599_genomic	DENV2_36_R
156	MsoaiN_1_F_GAPDH_R	MsoaiN_1_F	GCF_000865065.1_ViralProj15599_genomic	GAPDH_R
179	MsoaiN_1_F_DENV_R1-3_R	MsoaiN_1_F	GCF_000865065.1_ViralProj15599_genomic	DENV_R1-3_R
179	MsoaiN_1_F_DENV_R4_R	MsoaiN_1_F	GCF_000865065.1_ViralProj15599_genomic	DENV_R4_R
217	MsoaiN_1_F_Den4_R10653_R	MsoaiN_1_F	GCF_000865065.1_ViralProj15599_genomic	Den4_R10653_R
197	MsoaiN_1_F_DV.L2_R	MsoaiN_1_F	GCF_000865065.1_ViralProj15599_genomic	DV.L2_R
197	MsoaiN_1_F_DenAs_R	MsoaiN_1_F	GCF_000865065.1_ViralProj15599_genomic	DenAs_R
219	MsoaiN_1_F_D2-10723_RV_R	MsoaiN_1_F	GCF_000865065.1_ViralProj15599_genomic	D2-10723_RV_R
