Forward_Primer	Reverse_Primer	Combination_Name	Reference	Amplicon_Length	Round_Type
1G1P1_F	Smnfgsodv_6_R	1G1P1_F_Smnfgsodv_6_R	GCF_000862125.1_ViralProj15306_genomic	199	first
1G1P1_F	Den1_R10735_R	1G1P1_F_Den1_R10735_R	GCF_000862125.1_ViralProj15306_genomic	236	first
1G1P1_F	DV.L1_R	1G1P1_F_DV.L1_R	GCF_000862125.1_ViralProj15306_genomic	216	first
1G1P1_F	Fragment_B_R	1G1P1_F_Fragment_B_R	GCF_000862125.1_ViralProj15306_genomic	205	first
1G1P1_F	Cebeof_1_R	1G1P1_F_Cebeof_1_R	GCF_000862125.1_ViralProj15306_genomic	239	first
1G1P1_F	QSP-D2L_R	1G1P1_F_QSP-D2L_R	GCF_000862125.1_ViralProj15306_genomic	160	first
1G1P1_F	1G1P1_R	1G1P1_F_1G1P1_R	GCF_000865065.1_ViralProj15599_genomic	204	first
1G1P1_F	1G1P1_R	1G1P1_F_1G1P1_R	GCF_000865065.1_ViralProj15599_genomic	207	first
1G1P1_F	1G3P6_R	1G1P1_F_1G3P6_R	GCF_000865065.1_ViralProj15599_genomic	195	first
1G1P1_F	DENV1_31_RIGHT_R	1G1P1_F_DENV1_31_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	215	first
1G1P1_F	DENV3_35_RIGHT_R	1G1P1_F_DENV3_35_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	226	first
1G1P1_F	DENV4_35_RIGHT_R	1G1P1_F_DENV4_35_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	164	first
1G1P1_F	DENV2_36_R	1G1P1_F_DENV2_36_R	GCF_000865065.1_ViralProj15599_genomic	190	first
1G1P1_F	DENV-3′-UTR_R	1G1P1_F_DENV-3′-UTR_R	GCF_000865065.1_ViralProj15599_genomic	212	first
1G1P1_F	D-R3_R	1G1P1_F_D-R3_R	GCF_000865065.1_ViralProj15599_genomic	161	first
1G1P1_F	GAPDH_R	1G1P1_F_GAPDH_R	GCF_000865065.1_ViralProj15599_genomic	180	first
1G1P1_F	DENV_R1-3_R	1G1P1_F_DENV_R1-3_R	GCF_000865065.1_ViralProj15599_genomic	203	first
1G1P1_F	DENV_R4_R	1G1P1_F_DENV_R4_R	GCF_000865065.1_ViralProj15599_genomic	203	first
1G1P1_F	Den4_R10653_R	1G1P1_F_Den4_R10653_R	GCF_000865065.1_ViralProj15599_genomic	241	first
1G1P1_F	DV.L2_R	1G1P1_F_DV.L2_R	GCF_000865065.1_ViralProj15599_genomic	221	first
1G1P1_F	Den_R2_R	1G1P1_F_Den_R2_R	GCF_000865065.1_ViralProj15599_genomic	158	first
1G1P1_F	Den_R2_R	1G1P1_F_Den_R2_R	GCF_000865065.1_ViralProj15599_genomic	182	first
1G1P1_F	DEN_RP2_R	1G1P1_F_DEN_RP2_R	GCF_000865065.1_ViralProj15599_genomic	183	first
1G1P1_F	DenAs_R	1G1P1_F_DenAs_R	GCF_000865065.1_ViralProj15599_genomic	221	first
1G1P1_F	DenAs_R	1G1P1_F_DenAs_R	GCF_000865065.1_ViralProj15599_genomic	222	first
1G1P1_F	D2-10723_RV_R	1G1P1_F_D2-10723_RV_R	GCF_000865065.1_ViralProj15599_genomic	243	first
1G1P1_F	Primer_3_R	1G1P1_F_Primer_3_R	GCF_000865065.1_ViralProj15599_genomic	242	first
1G1P1_F	QST-D1L_R	1G1P1_F_QST-D1L_R	GCF_000865065.1_ViralProj15599_genomic	203	first
1G1P1_F	QST-D3L_R	1G1P1_F_QST-D3L_R	GCF_000865065.1_ViralProj15599_genomic	164	first
1G1P1_F	QST-D4L_R	1G1P1_F_QST-D4L_R	GCF_000865065.1_ViralProj15599_genomic	206	first
1G1P1_F	DENV.3_P.QRA_R	1G1P1_F_DENV.3_P.QRA_R	GCF_000865065.1_ViralProj15599_genomic	210	first
1G1P1_F	DortPfdaqoDV_2_R	1G1P1_F_DortPfdaqoDV_2_R	GCF_000865065.1_ViralProj15599_genomic	223	first
1G1P1_F	Pan-DENV_R	1G1P1_F_Pan-DENV_R	GCF_000865065.1_ViralProj15599_genomic	207	first
1G1P1_F	Dengue-2_R	1G1P1_F_Dengue-2_R	GCF_000865065.1_ViralProj15599_genomic	237	first
1G1P1_F	R2_R	1G1P1_F_R2_R	GCF_000865065.1_ViralProj15599_genomic	221	first
1G1P1_F	D1–4_R	1G1P1_F_D1–4_R	GCF_000865065.1_ViralProj15599_genomic	180	first
1G1P1_F	Smnfgsodv_6_R	1G1P1_F_Smnfgsodv_6_R	GCF_000865065.1_ViralProj15599_genomic	204	first
1G1P1_F	Den1_R10735_R	1G1P1_F_Den1_R10735_R	GCF_000865065.1_ViralProj15599_genomic	241	first
1G1P1_F	DV.L1_R	1G1P1_F_DV.L1_R	GCF_000865065.1_ViralProj15599_genomic	221	first
1G1P1_F	Fragment_B_R	1G1P1_F_Fragment_B_R	GCF_000865065.1_ViralProj15599_genomic	210	first
1G1P1_F	Cebeof_1_R	1G1P1_F_Cebeof_1_R	GCF_000865065.1_ViralProj15599_genomic	244	first
1G1P1_F	QSP-D2L_R	1G1P1_F_QSP-D2L_R	GCF_000865065.1_ViralProj15599_genomic	165	first
1G1P1_F	1G1P1_R	1G1P1_F_1G1P1_R	GCF_000866625.1_ViralProj15598_genomic	198	first
1G1P1_F	1G1P1_R	1G1P1_F_1G1P1_R	GCF_000866625.1_ViralProj15598_genomic	201	first
1G1P1_F	1G3P6_R	1G1P1_F_1G3P6_R	GCF_000866625.1_ViralProj15598_genomic	189	first
1G1P1_F	DENV3_35_RIGHT_R	1G1P1_F_DENV3_35_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	220	first
1G1P1_F	DENV4_35_RIGHT_R	1G1P1_F_DENV4_35_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	158	first
1G1P1_F	DENV2_36_R	1G1P1_F_DENV2_36_R	GCF_000866625.1_ViralProj15598_genomic	184	first
1G1P1_F	DENV-3′-UTR_R	1G1P1_F_DENV-3′-UTR_R	GCF_000866625.1_ViralProj15598_genomic	206	first
1G1P1_F	D-R3_R	1G1P1_F_D-R3_R	GCF_000866625.1_ViralProj15598_genomic	155	first
1G1P1_F	DENV_R1-3_R	1G1P1_F_DENV_R1-3_R	GCF_000866625.1_ViralProj15598_genomic	197	first
1G1P1_F	DENV_R4_R	1G1P1_F_DENV_R4_R	GCF_000866625.1_ViralProj15598_genomic	197	first
1G1P1_F	Den4_R10653_R	1G1P1_F_Den4_R10653_R	GCF_000866625.1_ViralProj15598_genomic	235	first
1G1P1_F	DV.L2_R	1G1P1_F_DV.L2_R	GCF_000866625.1_ViralProj15598_genomic	215	first
1G1P1_F	Den_R2_R	1G1P1_F_Den_R2_R	GCF_000866625.1_ViralProj15598_genomic	152	first
1G1P1_F	Den_R2_R	1G1P1_F_Den_R2_R	GCF_000866625.1_ViralProj15598_genomic	176	first
1G1P1_F	DEN_RP2_R	1G1P1_F_DEN_RP2_R	GCF_000866625.1_ViralProj15598_genomic	177	first
1G1P1_F	DenAs_R	1G1P1_F_DenAs_R	GCF_000866625.1_ViralProj15598_genomic	215	first
1G1P1_F	DenAs_R	1G1P1_F_DenAs_R	GCF_000866625.1_ViralProj15598_genomic	216	first
1G1P1_F	D2-10723_RV_R	1G1P1_F_D2-10723_RV_R	GCF_000866625.1_ViralProj15598_genomic	237	first
1G1P1_F	Primer_3_R	1G1P1_F_Primer_3_R	GCF_000866625.1_ViralProj15598_genomic	236	first
1G1P1_F	QST-D1L_R	1G1P1_F_QST-D1L_R	GCF_000866625.1_ViralProj15598_genomic	197	first
1G1P1_F	QST-D3L_R	1G1P1_F_QST-D3L_R	GCF_000866625.1_ViralProj15598_genomic	158	first
1G1P1_F	QST-D4L_R	1G1P1_F_QST-D4L_R	GCF_000866625.1_ViralProj15598_genomic	200	first
1G1P1_F	DENV.3_P.QRA_R	1G1P1_F_DENV.3_P.QRA_R	GCF_000866625.1_ViralProj15598_genomic	204	first
1G1P1_F	DortPfdaqoDV_2_R	1G1P1_F_DortPfdaqoDV_2_R	GCF_000866625.1_ViralProj15598_genomic	217	first
1G1P1_F	Pan-DENV_R	1G1P1_F_Pan-DENV_R	GCF_000866625.1_ViralProj15598_genomic	201	first
1G1P1_F	Dengue-2_R	1G1P1_F_Dengue-2_R	GCF_000866625.1_ViralProj15598_genomic	231	first
1G1P1_F	R2_R	1G1P1_F_R2_R	GCF_000866625.1_ViralProj15598_genomic	215	first
1G1P1_F	D1–4_R	1G1P1_F_D1–4_R	GCF_000866625.1_ViralProj15598_genomic	174	first
1G1P1_F	Smnfgsodv_6_R	1G1P1_F_Smnfgsodv_6_R	GCF_000866625.1_ViralProj15598_genomic	198	first
1G1P1_F	Den1_R10735_R	1G1P1_F_Den1_R10735_R	GCF_000866625.1_ViralProj15598_genomic	235	first
1G1P1_F	DV.L1_R	1G1P1_F_DV.L1_R	GCF_000866625.1_ViralProj15598_genomic	215	first
1G1P1_F	Fragment_B_R	1G1P1_F_Fragment_B_R	GCF_000866625.1_ViralProj15598_genomic	204	first
1G1P1_F	Cebeof_1_R	1G1P1_F_Cebeof_1_R	GCF_000866625.1_ViralProj15598_genomic	238	first
1G1P1_F	QSP-D2L_R	1G1P1_F_QSP-D2L_R	GCF_000866625.1_ViralProj15598_genomic	159	first
1G1P1_F	1G1P1_R	1G1P1_F_1G1P1_R	GCF_000871845.1_ViralProj20183_genomic	201	first
1G1P1_F	1G1P1_R	1G1P1_F_1G1P1_R	GCF_000871845.1_ViralProj20183_genomic	204	first
1G1P1_F	1G3P6_R	1G1P1_F_1G3P6_R	GCF_000871845.1_ViralProj20183_genomic	192	first
1G1P1_F	DENV3_35_RIGHT_R	1G1P1_F_DENV3_35_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	223	first
1G1P1_F	DENV4_35_RIGHT_R	1G1P1_F_DENV4_35_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	161	first
1G1P1_F	D3_R	1G1P1_F_D3_R	GCF_000871845.1_ViralProj20183_genomic	182	first
1G1P1_F	DENV2_36_R	1G1P1_F_DENV2_36_R	GCF_000871845.1_ViralProj20183_genomic	187	first
1G1P1_F	DENV-3′-UTR_R	1G1P1_F_DENV-3′-UTR_R	GCF_000871845.1_ViralProj20183_genomic	209	first
1G1P1_F	D-R3_R	1G1P1_F_D-R3_R	GCF_000871845.1_ViralProj20183_genomic	158	first
1G1P1_F	DENV_R1-3_R	1G1P1_F_DENV_R1-3_R	GCF_000871845.1_ViralProj20183_genomic	200	first
1G1P1_F	DENV_R4_R	1G1P1_F_DENV_R4_R	GCF_000871845.1_ViralProj20183_genomic	200	first
1G1P1_F	Den4_R10653_R	1G1P1_F_Den4_R10653_R	GCF_000871845.1_ViralProj20183_genomic	238	first
1G1P1_F	Den_R2_R	1G1P1_F_Den_R2_R	GCF_000871845.1_ViralProj20183_genomic	155	first
1G1P1_F	Den_R2_R	1G1P1_F_Den_R2_R	GCF_000871845.1_ViralProj20183_genomic	179	first
1G1P1_F	DEN_RP2_R	1G1P1_F_DEN_RP2_R	GCF_000871845.1_ViralProj20183_genomic	180	first
1G1P1_F	DenAs_R	1G1P1_F_DenAs_R	GCF_000871845.1_ViralProj20183_genomic	218	first
1G1P1_F	DenAs_R	1G1P1_F_DenAs_R	GCF_000871845.1_ViralProj20183_genomic	219	first
1G1P1_F	D2-10723_RV_R	1G1P1_F_D2-10723_RV_R	GCF_000871845.1_ViralProj20183_genomic	240	first
1G1P1_F	Primer_3_R	1G1P1_F_Primer_3_R	GCF_000871845.1_ViralProj20183_genomic	239	first
1G1P1_F	QST-D1L_R	1G1P1_F_QST-D1L_R	GCF_000871845.1_ViralProj20183_genomic	200	first
1G1P1_F	QST-D3L_R	1G1P1_F_QST-D3L_R	GCF_000871845.1_ViralProj20183_genomic	161	first
1G1P1_F	QST-D4L_R	1G1P1_F_QST-D4L_R	GCF_000871845.1_ViralProj20183_genomic	203	first
1G1P1_F	DENV.3_P.QRA_R	1G1P1_F_DENV.3_P.QRA_R	GCF_000871845.1_ViralProj20183_genomic	207	first
1G1P1_F	1453-1471_R	1G1P1_F_1453-1471_R	GCF_000871845.1_ViralProj20183_genomic	223	first
1G1P1_F	DortPfdaqoDV_2_R	1G1P1_F_DortPfdaqoDV_2_R	GCF_000871845.1_ViralProj20183_genomic	220	first
1G1P1_F	Pan-DENV_R	1G1P1_F_Pan-DENV_R	GCF_000871845.1_ViralProj20183_genomic	204	first
1G1P1_F	Dengue-2_R	1G1P1_F_Dengue-2_R	GCF_000871845.1_ViralProj20183_genomic	234	first
1G1P1_F	R2_R	1G1P1_F_R2_R	GCF_000871845.1_ViralProj20183_genomic	218	first
1G1P1_F	D1–4_R	1G1P1_F_D1–4_R	GCF_000871845.1_ViralProj20183_genomic	177	first
1G1P1_F	Smnfgsodv_6_R	1G1P1_F_Smnfgsodv_6_R	GCF_000871845.1_ViralProj20183_genomic	201	first
1G1P1_F	Den1_R10735_R	1G1P1_F_Den1_R10735_R	GCF_000871845.1_ViralProj20183_genomic	238	first
1G1P1_F	DV.L1_R	1G1P1_F_DV.L1_R	GCF_000871845.1_ViralProj20183_genomic	218	first
1G1P1_F	Fragment_B_R	1G1P1_F_Fragment_B_R	GCF_000871845.1_ViralProj20183_genomic	207	first
1G1P1_F	Cebeof_1_R	1G1P1_F_Cebeof_1_R	GCF_000871845.1_ViralProj20183_genomic	241	first
1G1P1_F	QSP-D2L_R	1G1P1_F_QSP-D2L_R	GCF_000871845.1_ViralProj20183_genomic	162	first
2G2P5_F	DENV1_31_RIGHT_R	2G2P5_F_DENV1_31_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	224	first
2G2P5_F	DENV2_33_RIGHT_R	2G2P5_F_DENV2_33_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	263	first
2G2P5_F	DEN1_CC_5_R	2G2P5_F_DEN1_CC_5_R	GCF_000862125.1_ViralProj15306_genomic	290	first
2G2P5_F	DEN3_CC_5_R	2G2P5_F_DEN3_CC_5_R	GCF_000862125.1_ViralProj15306_genomic	295	first
2G2P5_F	DENV-4_R	2G2P5_F_DENV-4_R	GCF_000862125.1_ViralProj15306_genomic	473	first
2G2P5_F	QST-D2AL_R	2G2P5_F_QST-D2AL_R	GCF_000862125.1_ViralProj15306_genomic	455	first
2G2P5_F	nDEN1_(−)_R	2G2P5_F_nDEN1_(−)_R	GCF_000862125.1_ViralProj15306_genomic	228	first
2G2P5_F	RSS2_R	2G2P5_F_RSS2_R	GCF_000862125.1_ViralProj15306_genomic	462	first
2G2P5_F	DENV1_32_R	2G2P5_F_DENV1_32_R	GCF_000862125.1_ViralProj15306_genomic	372	first
2G2P5_F	DENV2_33_RIGHT_R	2G2P5_F_DENV2_33_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	263	first
2G2P5_F	DENV3_30_RIGHT_R	2G2P5_F_DENV3_30_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	215	first
2G2P5_F	DENV4_30_RIGHT_R	2G2P5_F_DENV4_30_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	237	first
2G2P5_F	DENV1_16_R	2G2P5_F_DENV1_16_R	GCF_000865065.1_ViralProj15599_genomic	203	first
2G2P5_F	DENV1_34_R	2G2P5_F_DENV1_34_R	GCF_000865065.1_ViralProj15599_genomic	408	first
2G2P5_F	DEN1_CC_5_R	2G2P5_F_DEN1_CC_5_R	GCF_000865065.1_ViralProj15599_genomic	290	first
2G2P5_F	DEN3_CC_5_R	2G2P5_F_DEN3_CC_5_R	GCF_000865065.1_ViralProj15599_genomic	295	first
2G2P5_F	QST-D2AL_R	2G2P5_F_QST-D2AL_R	GCF_000865065.1_ViralProj15599_genomic	458	first
2G2P5_F	2G2P5_R	2G2P5_F_2G2P5_R	GCF_000866625.1_ViralProj15598_genomic	200	first
2G2P5_F	DENV2_33_RIGHT_R	2G2P5_F_DENV2_33_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	263	first
2G2P5_F	DENV3_30_RIGHT_R	2G2P5_F_DENV3_30_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	215	first
2G2P5_F	DENV2_SP5_R	2G2P5_F_DENV2_SP5_R	GCF_000866625.1_ViralProj15598_genomic	348	first
2G2P5_F	DENV1_28_R	2G2P5_F_DENV1_28_R	GCF_000866625.1_ViralProj15598_genomic	272	first
2G2P5_F	P4_R	2G2P5_F_P4_R	GCF_000866625.1_ViralProj15598_genomic	377	first
2G2P5_F	DEN1_CC_5_R	2G2P5_F_DEN1_CC_5_R	GCF_000866625.1_ViralProj15598_genomic	290	first
2G2P5_F	DEN2_CC_5_R	2G2P5_F_DEN2_CC_5_R	GCF_000866625.1_ViralProj15598_genomic	235	first
2G2P5_F	DEN3_CC_5_R	2G2P5_F_DEN3_CC_5_R	GCF_000866625.1_ViralProj15598_genomic	295	first
2G2P5_F	QST-D2AL_R	2G2P5_F_QST-D2AL_R	GCF_000866625.1_ViralProj15598_genomic	458	first
2G2P5_F	2G2P5_R	2G2P5_F_2G2P5_R	GCF_000871845.1_ViralProj20183_genomic	228	first
2G2P5_F	1G4P217_R	2G2P5_F_1G4P217_R	GCF_000871845.1_ViralProj20183_genomic	239	first
2G2P5_F	DENV1_31_RIGHT_R	2G2P5_F_DENV1_31_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	224	first
2G2P5_F	DENV2_33_RIGHT_R	2G2P5_F_DENV2_33_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	263	first
2G2P5_F	DENV3_30_RIGHT_R	2G2P5_F_DENV3_30_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	215	first
2G2P5_F	DEN1_CC_5_R	2G2P5_F_DEN1_CC_5_R	GCF_000871845.1_ViralProj20183_genomic	290	first
2G2P5_F	DEN2_CC_5_R	2G2P5_F_DEN2_CC_5_R	GCF_000871845.1_ViralProj20183_genomic	235	first
2G2P5_F	DEN3_CC_5_R	2G2P5_F_DEN3_CC_5_R	GCF_000871845.1_ViralProj20183_genomic	295	first
2G2P5_F	QST-D2AL_R	2G2P5_F_QST-D2AL_R	GCF_000871845.1_ViralProj20183_genomic	455	first
2G2P5_F	D1-TS1_R	2G2P5_F_D1-TS1_R	GCF_000871845.1_ViralProj20183_genomic	275	first
2G2P5_F	rTS1_R	2G2P5_F_rTS1_R	GCF_000871845.1_ViralProj20183_genomic	274	first
2G2P5_F	DENV1_31_RIGHT_R	2G2P5_F_DENV1_31_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	226	first
2G2P5_F	DENV2_33_RIGHT_R	2G2P5_F_DENV2_33_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	265	first
2G2P5_F	DEN1_CC_5_R	2G2P5_F_DEN1_CC_5_R	GCF_000862125.1_ViralProj15306_genomic	292	first
2G2P5_F	DEN3_CC_5_R	2G2P5_F_DEN3_CC_5_R	GCF_000862125.1_ViralProj15306_genomic	297	first
2G2P5_F	DENV-4_R	2G2P5_F_DENV-4_R	GCF_000862125.1_ViralProj15306_genomic	475	first
2G2P5_F	QST-D2AL_R	2G2P5_F_QST-D2AL_R	GCF_000862125.1_ViralProj15306_genomic	457	first
2G2P5_F	nDEN1_(−)_R	2G2P5_F_nDEN1_(−)_R	GCF_000862125.1_ViralProj15306_genomic	230	first
2G2P5_F	RSS2_R	2G2P5_F_RSS2_R	GCF_000862125.1_ViralProj15306_genomic	464	first
2G2P5_F	DENV1_32_R	2G2P5_F_DENV1_32_R	GCF_000862125.1_ViralProj15306_genomic	374	first
2G2P5_F	DENV2_33_RIGHT_R	2G2P5_F_DENV2_33_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	265	first
2G2P5_F	DENV3_30_RIGHT_R	2G2P5_F_DENV3_30_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	217	first
2G2P5_F	DENV4_30_RIGHT_R	2G2P5_F_DENV4_30_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	239	first
2G2P5_F	DENV1_16_R	2G2P5_F_DENV1_16_R	GCF_000865065.1_ViralProj15599_genomic	205	first
2G2P5_F	DENV1_34_R	2G2P5_F_DENV1_34_R	GCF_000865065.1_ViralProj15599_genomic	410	first
2G2P5_F	DEN1_CC_5_R	2G2P5_F_DEN1_CC_5_R	GCF_000865065.1_ViralProj15599_genomic	292	first
2G2P5_F	DEN3_CC_5_R	2G2P5_F_DEN3_CC_5_R	GCF_000865065.1_ViralProj15599_genomic	297	first
2G2P5_F	QST-D2AL_R	2G2P5_F_QST-D2AL_R	GCF_000865065.1_ViralProj15599_genomic	460	first
2G2P5_F	2G2P5_R	2G2P5_F_2G2P5_R	GCF_000866625.1_ViralProj15598_genomic	202	first
2G2P5_F	DENV2_33_RIGHT_R	2G2P5_F_DENV2_33_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	265	first
2G2P5_F	DENV3_30_RIGHT_R	2G2P5_F_DENV3_30_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	217	first
2G2P5_F	DENV2_SP5_R	2G2P5_F_DENV2_SP5_R	GCF_000866625.1_ViralProj15598_genomic	350	first
2G2P5_F	DENV1_28_R	2G2P5_F_DENV1_28_R	GCF_000866625.1_ViralProj15598_genomic	274	first
2G2P5_F	DENV3_28_R	2G2P5_F_DENV3_28_R	GCF_000866625.1_ViralProj15598_genomic	151	first
2G2P5_F	P4_R	2G2P5_F_P4_R	GCF_000866625.1_ViralProj15598_genomic	379	first
2G2P5_F	DEN1_CC_5_R	2G2P5_F_DEN1_CC_5_R	GCF_000866625.1_ViralProj15598_genomic	292	first
2G2P5_F	DEN2_CC_5_R	2G2P5_F_DEN2_CC_5_R	GCF_000866625.1_ViralProj15598_genomic	237	first
2G2P5_F	DEN3_CC_5_R	2G2P5_F_DEN3_CC_5_R	GCF_000866625.1_ViralProj15598_genomic	297	first
2G2P5_F	QST-D2AL_R	2G2P5_F_QST-D2AL_R	GCF_000866625.1_ViralProj15598_genomic	460	first
2G2P5_F	2G2P5_R	2G2P5_F_2G2P5_R	GCF_000871845.1_ViralProj20183_genomic	230	first
2G2P5_F	1G4P217_R	2G2P5_F_1G4P217_R	GCF_000871845.1_ViralProj20183_genomic	241	first
2G2P5_F	DENV1_31_RIGHT_R	2G2P5_F_DENV1_31_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	226	first
2G2P5_F	DENV2_33_RIGHT_R	2G2P5_F_DENV2_33_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	265	first
2G2P5_F	DENV3_30_RIGHT_R	2G2P5_F_DENV3_30_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	217	first
2G2P5_F	DENV3_28_R	2G2P5_F_DENV3_28_R	GCF_000871845.1_ViralProj20183_genomic	151	first
2G2P5_F	DEN1_CC_5_R	2G2P5_F_DEN1_CC_5_R	GCF_000871845.1_ViralProj20183_genomic	292	first
2G2P5_F	DEN2_CC_5_R	2G2P5_F_DEN2_CC_5_R	GCF_000871845.1_ViralProj20183_genomic	237	first
2G2P5_F	DEN3_CC_5_R	2G2P5_F_DEN3_CC_5_R	GCF_000871845.1_ViralProj20183_genomic	297	first
2G2P5_F	QST-D2AL_R	2G2P5_F_QST-D2AL_R	GCF_000871845.1_ViralProj20183_genomic	457	first
2G2P5_F	D1-TS1_R	2G2P5_F_D1-TS1_R	GCF_000871845.1_ViralProj20183_genomic	277	first
2G2P5_F	rTS1_R	2G2P5_F_rTS1_R	GCF_000871845.1_ViralProj20183_genomic	276	first
1G3P6_F	1G1P1_R	1G3P6_F_1G1P1_R	GCF_000862125.1_ViralProj15306_genomic	169	first
1G3P6_F	1G1P1_R	1G3P6_F_1G1P1_R	GCF_000862125.1_ViralProj15306_genomic	172	first
1G3P6_F	1G3P6_R	1G3P6_F_1G3P6_R	GCF_000862125.1_ViralProj15306_genomic	160	first
1G3P6_F	DENV3_35_RIGHT_R	1G3P6_F_DENV3_35_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	191	first
1G3P6_F	D3_R	1G3P6_F_D3_R	GCF_000862125.1_ViralProj15306_genomic	150	first
