Amplicon_Length	Combination_Name	Forward_Primer	Reference	Reverse_Primer
64	MsoaiN_1_F_DENV2_37_RIGHT_R	MsoaiN_1_F	GCF_000865065.1_ViralProj15599_genomic	DENV2_37_RIGHT_R
24	MsoaiN_1_F_DENV3_34_RIGHT_R	MsoaiN_1_F	GCF_000865065.1_ViralProj15599_genomic	DENV3_34_RIGHT_R
5	MsoaiN_1_F_DENV4_34_RIGHT_R	MsoaiN_1_F	GCF_000865065.1_ViralProj15599_genomic	DENV4_34_RIGHT_R
63	MsoaiN_1_F_DENV3_32_R	MsoaiN_1_F	GCF_000865065.1_ViralProj15599_genomic	DENV3_32_R
10	MsoaiN_1_F_Smnfgsodv_7_R	MsoaiN_1_F	GCF_000865065.1_ViralProj15599_genomic	Smnfgsodv_7_R
27	MsoaiN_1_F_DEN-1_R	MsoaiN_1_F	GCF_000865065.1_ViralProj15599_genomic	DEN-1_R
81	MsoaiN_1_F_QSP-D1L_R	MsoaiN_1_F	GCF_000865065.1_ViralProj15599_genomic	QSP-D1L_R
97	MsoaiN_1_F_CDC10564_R	MsoaiN_1_F	GCF_000865065.1_ViralProj15599_genomic	CDC10564_R
28	MsoaiN_1_F_TS1_R	MsoaiN_1_F	GCF_000865065.1_ViralProj15599_genomic	TS1_R
43	MsoaiN_1_F_DodvRipaposdibutTaas_8_R	MsoaiN_1_F	GCF_000866625.1_ViralProj15598_genomic	DodvRipaposdibutTaas_8_R
27	MsoaiN_1_F_DEN-3_R	MsoaiN_1_F	GCF_000866625.1_ViralProj15598_genomic	DEN-3_R
98	MsoaiN_1_F_DEN-2_Reverse_R	MsoaiN_1_F	GCF_000866625.1_ViralProj15598_genomic	DEN-2_Reverse_R
90	MsoaiN_1_F_MsoaiN_2_R	MsoaiN_1_F	GCF_000871845.1_ViralProj20183_genomic	MsoaiN_2_R
87	MsoaiN_1_F_DENV4_21_RIGHT_R	MsoaiN_1_F	GCF_000871845.1_ViralProj20183_genomic	DENV4_21_RIGHT_R
19	MsoaiN_1_F_DENV4_R	MsoaiN_1_F	GCF_000871845.1_ViralProj20183_genomic	DENV4_R
27	MsoaiN_1_F_DEN-3_R	MsoaiN_1_F	GCF_000871845.1_ViralProj20183_genomic	DEN-3_R
98	MsoaiN_1_F_DEN-2_Reverse_R	MsoaiN_1_F	GCF_000871845.1_ViralProj20183_genomic	DEN-2_Reverse_R
76	MsoaiN_1_F_TS2_R	MsoaiN_1_F	GCF_000871845.1_ViralProj20183_genomic	TS2_R
65	DENV1_1_LEFT_F_Dciam3n(eodviiioDis_4_R	DENV1_1_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	Dciam3n(eodviiioDis_4_R
84	DENV1_1_LEFT_F_DEN-4_R	DENV1_1_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	DEN-4_R
65	DENV1_1_LEFT_F_Dciam3n(eodviiioDis_4_R	DENV1_1_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	Dciam3n(eodviiioDis_4_R
74	DENV1_1_LEFT_F_CYD2_R	DENV1_1_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	CYD2_R
85	DENV1_1_LEFT_F_DENV4_14_RIGHT_R	DENV1_1_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	DENV4_14_RIGHT_R
82	DENV1_1_LEFT_F_DEN-4_R	DENV1_1_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	DEN-4_R
49	DENV1_2_LEFT_F_D2_R	DENV1_2_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	D2_R
59	DENV1_2_LEFT_F_DENV1_1_RIGHT_R	DENV1_2_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	DENV1_1_RIGHT_R
59	DENV1_2_LEFT_F_DENV2_1_RIGHT_R	DENV1_2_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	DENV2_1_RIGHT_R
73	DENV1_2_LEFT_F_DEN4_reverse_R	DENV1_2_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	DEN4_reverse_R
99	DENV1_2_LEFT_F_Den-4_R	DENV1_2_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	Den-4_R
57	DENV1_2_LEFT_F_DENV1_3_RIGHT_R	DENV1_2_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	DENV1_3_RIGHT_R
76	DENV1_2_LEFT_F_DENV3_31_RIGHT_R	DENV1_2_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	DENV3_31_RIGHT_R
83	DENV1_2_LEFT_F_DENV4_31_RIGHT_R	DENV1_2_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	DENV4_31_RIGHT_R
69	DENV1_2_LEFT_F_D1_R	DENV1_2_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	D1_R
100	DENV1_2_LEFT_F_DENV1_11_RIGHT_R	DENV1_2_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	DENV1_11_RIGHT_R
17	DENV1_2_LEFT_F_D3_R	DENV1_2_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	D3_R
75	DENV1_2_LEFT_F_DENV-3_R	DENV1_2_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	DENV-3_R
87	DENV1_2_LEFT_F_Primer_4_R	DENV1_2_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	Primer_4_R
5	DENV1_2_LEFT_F_8_R	DENV1_2_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	8_R
59	DENV1_2_LEFT_F_DENV1_1_RIGHT_R	DENV1_2_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	DENV1_1_RIGHT_R
25	DENV1_2_LEFT_F_DENV1_33_RIGHT_R	DENV1_2_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	DENV1_33_RIGHT_R
59	DENV1_2_LEFT_F_DENV2_1_RIGHT_R	DENV1_2_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	DENV2_1_RIGHT_R
91	DENV1_2_LEFT_F_DENV-4_R	DENV1_2_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	DENV-4_R
28	DENV1_2_LEFT_F_CYD2_R	DENV1_2_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	CYD2_R
75	DENV1_3_LEFT_F_DENV1_2_RIGHT_R	DENV1_3_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	DENV1_2_RIGHT_R
60	DENV1_3_LEFT_F_DENV2_2_RIGHT_R	DENV1_3_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	DENV2_2_RIGHT_R
96	DENV1_3_LEFT_F_D3_R	DENV1_3_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	D3_R
79	DENV1_3_LEFT_F_D4_R	DENV1_3_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	D4_R
73	DENV1_3_LEFT_F_DencomR2_R	DENV1_3_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	DencomR2_R
75	DENV1_3_LEFT_F_DENV1_2_RIGHT_R	DENV1_3_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	DENV1_2_RIGHT_R
60	DENV1_3_LEFT_F_DENV2_2_RIGHT_R	DENV1_3_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	DENV2_2_RIGHT_R
30	DENV1_3_LEFT_F_D4_R	DENV1_3_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	D4_R
73	DENV1_3_LEFT_F_DencomR2_R	DENV1_3_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	DencomR2_R
71	DENV1_3_LEFT_F_DEN-1-reverse_R	DENV1_3_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	DEN-1-reverse_R
75	DENV1_3_LEFT_F_DENV1_2_RIGHT_R	DENV1_3_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	DENV1_2_RIGHT_R
60	DENV1_3_LEFT_F_DENV2_2_RIGHT_R	DENV1_3_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	DENV2_2_RIGHT_R
28	DENV1_3_LEFT_F_DENV4_12_RIGHT_R	DENV1_3_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	DENV4_12_RIGHT_R
96	DENV1_3_LEFT_F_D3_R	DENV1_3_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	D3_R
30	DENV1_3_LEFT_F_D4_R	DENV1_3_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	D4_R
73	DENV1_3_LEFT_F_DencomR2_R	DENV1_3_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	DencomR2_R
9	DENV1_3_LEFT_F_DENV4_RN_R1_R	DENV1_3_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	DENV4_RN_R1_R
75	DENV1_3_LEFT_F_DENV1_2_RIGHT_R	DENV1_3_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	DENV1_2_RIGHT_R
60	DENV1_3_LEFT_F_DENV2_2_RIGHT_R	DENV1_3_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	DENV2_2_RIGHT_R
89	DENV1_3_LEFT_F_DENV4_32_RIGHT_R	DENV1_3_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	DENV4_32_RIGHT_R
27	DENV1_3_LEFT_F_D1_R	DENV1_3_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	D1_R
30	DENV1_3_LEFT_F_D4_R	DENV1_3_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	D4_R
73	DENV1_3_LEFT_F_DencomR2_R	DENV1_3_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	DencomR2_R
57	DENV1_4_LEFT_F_DENV1_3_RIGHT_R	DENV1_4_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	DENV1_3_RIGHT_R
9	DENV1_4_LEFT_F_DENV2_3_RIGHT_R	DENV1_4_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	DENV2_3_RIGHT_R
96	DENV1_4_LEFT_F_DatodvboRhma_2_R	DENV1_4_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	DatodvboRhma_2_R
52	DENV1_4_LEFT_F_DENV3_12_RIGHT_R	DENV1_4_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	DENV3_12_RIGHT_R
57	DENV1_4_LEFT_F_DENV1_3_RIGHT_R	DENV1_4_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	DENV1_3_RIGHT_R
9	DENV1_4_LEFT_F_DENV2_3_RIGHT_R	DENV1_4_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	DENV2_3_RIGHT_R
96	DENV1_4_LEFT_F_DatodvboRhma_2_R	DENV1_4_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	DatodvboRhma_2_R
55	DENV1_5_LEFT_F_d4a6_R	DENV1_5_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	d4a6_R
14	DENV1_5_LEFT_F_DENV3_4_RIGHT_R	DENV1_5_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	DENV3_4_RIGHT_R
96	DENV1_5_LEFT_F_DENV4_4_R	DENV1_5_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	DENV4_4_R
55	DENV1_5_LEFT_F_d4a6_R	DENV1_5_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	d4a6_R
14	DENV1_5_LEFT_F_DENV3_4_RIGHT_R	DENV1_5_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	DENV3_4_RIGHT_R
58	DENV1_6_LEFT_F_DENV1_5_RIGHT_R	DENV1_6_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	DENV1_5_RIGHT_R
23	DENV1_6_LEFT_F_DENV4_RN_R2_R	DENV1_6_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	DENV4_RN_R2_R
80	DENV1_6_LEFT_F_Env_R	DENV1_6_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	Env_R
53	DENV1_6_LEFT_F_1G4P217_R	DENV1_6_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	1G4P217_R
72	DENV1_6_LEFT_F_5_R	DENV1_6_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	5_R
58	DENV1_6_LEFT_F_DENV1_5_RIGHT_R	DENV1_6_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	DENV1_5_RIGHT_R
23	DENV1_6_LEFT_F_DENV4_RN_R2_R	DENV1_6_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	DENV4_RN_R2_R
80	DENV1_6_LEFT_F_Env_R	DENV1_6_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	Env_R
6	DENV1_6_LEFT_F_DENV1_4_RIGHT_R	DENV1_6_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	DENV1_4_RIGHT_R
90	DENV1_6_LEFT_F_DENV-2_R	DENV1_6_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	DENV-2_R
96	DENV1_7_LEFT_F_DENV1_6_RIGHT_R	DENV1_7_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	DENV1_6_RIGHT_R
85	DENV1_7_LEFT_F_DENV2_31_RIGHT_R	DENV1_7_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	DENV2_31_RIGHT_R
37	DENV1_7_LEFT_F_DENV4_4_RIGHT_R	DENV1_7_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	DENV4_4_RIGHT_R
90	DENV1_7_LEFT_F_RPS29_R	DENV1_7_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	RPS29_R
52	DENV1_7_LEFT_F_Gsaodv1iiKWF_2_R	DENV1_7_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	Gsaodv1iiKWF_2_R
14	DENV1_7_LEFT_F_DENV1_17_RIGHT_R	DENV1_7_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	DENV1_17_RIGHT_R
65	DENV1_7_LEFT_F_DENV2_18_RIGHT_R	DENV1_7_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	DENV2_18_RIGHT_R
14	DENV1_7_LEFT_F_DENV4_16_RIGHT_R	DENV1_7_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	DENV4_16_RIGHT_R
56	DENV1_7_LEFT_F_P3_R	DENV1_7_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	P3_R
58	DENV1_7_LEFT_F_DEN2_CC_3_R	DENV1_7_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	DEN2_CC_3_R
67	DENV1_7_LEFT_F_D2-5339_RV_R	DENV1_7_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	D2-5339_RV_R
96	DENV1_7_LEFT_F_DENV1_6_RIGHT_R	DENV1_7_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	DENV1_6_RIGHT_R
23	DENV1_7_LEFT_F_DENV2_27_RIGHT_R	DENV1_7_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	DENV2_27_RIGHT_R
35	DENV1_7_LEFT_F_DENV3_6_RIGHT_R	DENV1_7_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	DENV3_6_RIGHT_R
98	DENV1_7_LEFT_F_D3_R	DENV1_7_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	D3_R
38	DENV1_7_LEFT_F_D2R2099_R	DENV1_7_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	D2R2099_R
98	DENV1_7_LEFT_F_RSS8_R	DENV1_7_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	RSS8_R
78	DENV1_7_LEFT_F_GRP78_R	DENV1_7_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	GRP78_R
91	DENV1_7_LEFT_F_DENV1_30_RIGHT_R	DENV1_7_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	DENV1_30_RIGHT_R
51	DENV1_8_LEFT_F_DENV2_9_RIGHT_R	DENV1_8_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	DENV2_9_RIGHT_R
60	DENV1_8_LEFT_F_NS3-1-I_R	DENV1_8_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	NS3-1-I_R
64	DENV1_8_LEFT_F_DEN3_CC_B_R	DENV1_8_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	DEN3_CC_B_R
32	DENV1_8_LEFT_F_DENV4_7_RIGHT_R	DENV1_8_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	DENV4_7_RIGHT_R
68	DENV1_8_LEFT_F_DEN3_reverse_R	DENV1_8_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	DEN3_reverse_R
32	DENV1_8_LEFT_F_DENV4_7_RIGHT_R	DENV1_8_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	DENV4_7_RIGHT_R
64	DENV1_8_LEFT_F_DEN3_CC_B_R	DENV1_8_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	DEN3_CC_B_R
7	DENV1_8_LEFT_F_DENV1_13_RIGHT_R	DENV1_8_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	DENV1_13_RIGHT_R
28	DENV1_8_LEFT_F_D3_R	DENV1_8_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	D3_R
29	DENV1_8_LEFT_F_RSS8_R	DENV1_8_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	RSS8_R
6	DENV1_9_LEFT_F_DENV3_8_RIGHT_R	DENV1_9_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	DENV3_8_RIGHT_R
20	DENV1_9_LEFT_F_Den3-2539_R	DENV1_9_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	Den3-2539_R
7	DENV1_9_LEFT_F_Den1_R2520_R	DENV1_9_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	Den1_R2520_R
1	DENV1_9_LEFT_F_DEN1-2472_R	DENV1_9_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	DEN1-2472_R
89	DENV1_9_LEFT_F_DoaSSMfPSaGoDV_4_R	DENV1_9_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	DoaSSMfPSaGoDV_4_R
6	DENV1_9_LEFT_F_DENV3_8_RIGHT_R	DENV1_9_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	DENV3_8_RIGHT_R
7	DENV1_9_LEFT_F_Den1_R2520_R	DENV1_9_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	Den1_R2520_R
56	DENV1_9_LEFT_F_d4a18_R	DENV1_9_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	d4a18_R
1	DENV1_9_LEFT_F_DEN1-2472_R	DENV1_9_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	DEN1-2472_R
89	DENV1_9_LEFT_F_DoaSSMfPSaGoDV_4_R	DENV1_9_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	DoaSSMfPSaGoDV_4_R
