Amplicon_Length	Combination_Name	First_Round_End	First_Round_Start	Forward_Primer	Genotype	Reference	Region	Reverse_Primer	Round_Type
662	DENV3_20_LEFT_F_DENV3_4_RIGHT_R	6476	5793	DENV3_20_LEFT_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV3_4_RIGHT_R	first
526	DENV3_20_LEFT_F_DEN3_CC_4_R	6339	5793	DENV3_20_LEFT_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DEN3_CC_4_R	first
698	DENV3_20_LEFT_F_DENV3_21_RIGHT_R	6504	5787	DENV3_20_LEFT_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV3_21_RIGHT_R	first
698	DENV3_20_LEFT_F_DENV3_21_RIGHT_R	6509	5792	DENV3_20_LEFT_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV3_21_RIGHT_R	first
769	DENV3_20_LEFT_F_DENV3_34_RIGHT_R	6580	5792	DENV3_20_LEFT_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV3_34_RIGHT_R	first
360	DENV3_21_LEFT_F_D2_R	6470	6089	DENV3_21_LEFT_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS5	D2_R	first
364	DENV3_22_LEFT_F_DEN3-1752_R	1776	1394	DENV3_22_LEFT_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS1	DEN3-1752_R	first
1622	DENV4_17_LEFT_F_DENV4_21_RIGHT_R	6667	5026	DENV4_17_LEFT_F	DENV4	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV4_21_RIGHT_R	first
447	DENV4_17_LEFT_F_D4_R	5486	5026	DENV4_17_LEFT_F	DENV4	GCF_000865065.1_ViralProj15599_genomic	NS5	D4_R	first
1745	DENV4_17_LEFT_F_DENV4_21_RIGHT_R	6774	5010	DENV4_17_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV4_21_RIGHT_R	first
855	DENV4_17_LEFT_F_D4_R	5878	5010	DENV4_17_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	D4_R	first
1316	DENV4_18_LEFT_F_DENV4_21_RIGHT_R	6667	5332	DENV4_18_LEFT_F	DENV4	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV4_21_RIGHT_R	first
1430	DENV4_18_LEFT_F_DENV4_21_RIGHT_R	6774	5325	DENV4_18_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV4_21_RIGHT_R	first
1567	DENV4_18_LEFT_F_DENV4_28_RIGHT_R	6911	5325	DENV4_18_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV4_28_RIGHT_R	first
540	DENV4_18_LEFT_F_D4_R	5878	5325	DENV4_18_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	D4_R	first
1249	DENV4_19_LEFT_F_DENV4_22_RIGHT_R	6910	5640	DENV4_19_LEFT_F	DENV4	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV4_22_RIGHT_R	first
386	DENV4_20_LEFT_F_DENV4_20_RIGHT_R	6351	5944	DENV4_20_LEFT_F	DENV4	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV4_20_RIGHT_R	first
704	DENV4_20_LEFT_F_DENV4_21_RIGHT_R	6667	5944	DENV4_20_LEFT_F	DENV4	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV4_21_RIGHT_R	first
649	DENV4_26_LEFT_F_DENV4_4_RIGHT_R	1971	1301	DENV4_26_LEFT_F	DENV4	GCF_000862125.1_ViralProj15306_genomic	NS1	DENV4_4_RIGHT_R	first
392	DENV4_26_LEFT_F_D2_R	6470	6057	DENV4_26_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	D2_R	first
1023	DENV4_27_LEFT_F_D2_R	6470	5426	DENV4_27_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	D2_R	first
1199	DENV4_27_LEFT_F_DENV4_15_RIGHT_R	6646	5426	DENV4_27_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV4_15_RIGHT_R	first
897	DENV4_27_LEFT_F_DENV4_20_RIGHT_R	6344	5426	DENV4_27_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV4_20_RIGHT_R	first
439	DENV4_27_LEFT_F_D4_R	5878	5426	DENV4_27_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	D4_R	first
1548	DENV4_33_LEFT_F_DENV4_21_RIGHT_R	6774	5207	DENV4_33_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV4_21_RIGHT_R	first
753	D2L_F_RPS29_R	6110	5338	D2L_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	RPS29_R	first
1145	D2L_F_NS3-2-O_R	6502	5338	D2L_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	NS3-2-O_R	first
364	DENV3_SP2_F_DENV3_21_RIGHT_R	6509	6126	DENV3_SP2_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV3_21_RIGHT_R	first
435	DENV3_SP2_F_DENV3_34_RIGHT_R	6580	6126	DENV3_SP2_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV3_34_RIGHT_R	first
456	DENV1_7_F_D2_R	1538	1061	DENV1_7_F	DENV1	GCF_000862125.1_ViralProj15306_genomic	NS1	D2_R	first
680	DENV1_21_F_DEN1_CC_3_R	6264	5561	DENV1_21_F	DENV1	GCF_000862125.1_ViralProj15306_genomic	NS5	DEN1_CC_3_R	first
1372	DENV1_21_F_DENV1-LAB-10R-CC_R	6956	5561	DENV1_21_F	DENV1	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV1-LAB-10R-CC_R	first
680	DENV1_21_F_DEN1_CC_3_R	6265	5562	DENV1_21_F	DENV1	GCF_000865065.1_ViralProj15599_genomic	NS5	DEN1_CC_3_R	first
1360	DENV1_21_F_DENV1-LAB-10R-CC_R	6945	5562	DENV1_21_F	DENV1	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV1-LAB-10R-CC_R	first
480	DENV1_21_F_DENV1_30_R	6058	5555	DENV1_21_F	DENV1	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV1_30_R	first
680	DENV1_21_F_DEN1_CC_3_R	6258	5555	DENV1_21_F	DENV1	GCF_000866625.1_ViralProj15598_genomic	NS5	DEN1_CC_3_R	first
1369	DENV1_21_F_DENV1-LAB-10R-CC_R	6947	5555	DENV1_21_F	DENV1	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV1-LAB-10R-CC_R	first
315	DENV1_21_F_D1_R	5894	5560	DENV1_21_F	DENV1	GCF_000871845.1_ViralProj20183_genomic	NS5	D1_R	first
680	DENV1_21_F_DEN1_CC_3_R	6263	5560	DENV1_21_F	DENV1	GCF_000871845.1_ViralProj20183_genomic	NS5	DEN1_CC_3_R	first
1369	DENV1_21_F_DENV1-LAB-10R-CC_R	6952	5560	DENV1_21_F	DENV1	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV1-LAB-10R-CC_R	first
591	DENV2_15_F_DEN2_CC_1_R	6723	6109	DENV2_15_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	DEN2_CC_1_R	first
509	DENV2_19_F_D1_R	5703	5172	DENV2_19_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS5	D1_R	first
1797	DENV2_19_F_NS4B(1-77)_R	6988	5165	DENV2_19_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	NS4B(1-77)_R	first
705	DENV2_19_F_D1_R	5894	5170	DENV2_19_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	D1_R	first
867	DENV2_19_F_DENV2_20_R	6063	5170	DENV2_19_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV2_20_R	first
1359	DENV2_19_F_DENV2_22_R	6555	5170	DENV2_19_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV2_22_R	first
1797	DENV2_19_F_NS4B(1-77)_R	6993	5170	DENV2_19_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	NS4B(1-77)_R	first
534	DENV2_21_F_DENV2_20_R	6064	5504	DENV2_21_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV2_20_R	first
1203	DENV2_21_F_DENV2_22_R	6733	5504	DENV2_21_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV2_22_R	first
951	DENV2_21_F_D2_R	6470	5498	DENV2_21_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	D2_R	first
534	DENV2_21_F_DENV2_20_R	6063	5503	DENV2_21_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV2_20_R	first
1026	DENV2_21_F_DENV2_22_R	6555	5503	DENV2_21_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV2_22_R	first
413	DENV3_11_F_D3_R	3554	3121	DENV3_11_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS3	D3_R	first
444	DENV3_11_F_DENV3_12_R	3587	3121	DENV3_11_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS3	DENV3_12_R	first
362	DENV3_11_F_CLTC_R	3501	3115	DENV3_11_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS3	CLTC_R	first
490	DENV3_17_F_D2_R	5647	5138	DENV3_17_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	D2_R	first
1317	DENV3_17_F_D2_R	6470	5132	DENV3_17_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS5	D2_R	first
702	DENV3_19_F_D3_R	6501	5780	DENV3_19_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	D3_R	first
441	DENV4_19_F_D4_R	5486	5032	DENV4_19_F	DENV4	GCF_000865065.1_ViralProj15599_genomic	NS5	D4_R	first
1526	DENV4_19_F_DENV4_22_R	6584	5032	DENV4_19_F	DENV4	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV4_22_R	first
301	DENV2_RN_F2_F_DEN-2_R	1548	1228	DENV2_RN_F2_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS1	DEN-2_R	first
366	DENV2_RN_F2_F_GRP78_R	1617	1232	DENV2_RN_F2_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS1	GRP78_R	first
301	DENV2_RN_F2_F_DEN-2_R	1552	1232	DENV2_RN_F2_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS1	DEN-2_R	first
702	DENV2_RN_F2_F_DENV2_27_RIGHT_R	1951	1228	DENV2_RN_F2_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS1	DENV2_27_RIGHT_R	first
398	DENV2_RN_F2_F_DNM2_R	1647	1228	DENV2_RN_F2_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS1	DNM2_R	first
301	DENV2_RN_F2_F_DEN-2_R	1550	1230	DENV2_RN_F2_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	DEN-2_R	first
569	DENV3_RN_F1_F_DENV3_5_RIGHT_R	1647	1056	DENV3_RN_F1_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS1	DENV3_5_RIGHT_R	first
761	DENV3_RN_F1_F_PRIMER_4_R	1839	1056	DENV3_RN_F1_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS1	PRIMER_4_R	first
593	DENV3_RN_F1_F_DENV3_21_RIGHT_R	3636	3024	DENV3_RN_F1_F	DENV3	GCF_000865065.1_ViralProj15599_genomic	NS3	DENV3_21_RIGHT_R	first
563	DENV3_RN_F1_F_DENV3_5_RIGHT_R	1641	1056	DENV3_RN_F1_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS1	DENV3_5_RIGHT_R	first
886	DENV3_RN_F1_F_DENV3_6_RIGHT_R	1963	1056	DENV3_RN_F1_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS1	DENV3_6_RIGHT_R	first
412	DENV3_RN_F2_F_GRP78_R	1617	1186	DENV3_RN_F2_F	DENV3	GCF_000865065.1_ViralProj15599_genomic	NS1	GRP78_R	first
570	DENV3_RN_F2_F_DEN3-1752_R	1770	1182	DENV3_RN_F2_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS1	DEN3-1752_R	first
804	DENV4_RN_F2_F_D4_R	1978	1151	DENV4_RN_F2_F	DENV4	GCF_000871845.1_ViralProj20183_genomic	NS1	D4_R	first
622	1721_F_DENV-4_R	3965	3325	1721_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS3	DENV-4_R	first
798	GRP78_F_RPL27_R	6968	6151	GRP78_F	ALL	GCF_000871845.1_ViralProj20183_genomic	NS5	RPL27_R	first
589	DEN1_F5132_F_DENV1_19_RIGHT_R	5742	5132	DEN1_F5132_F	DENV1	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV1_19_RIGHT_R	first
589	DEN1_F5132_F_DENV1_19_RIGHT_R	5743	5133	DEN1_F5132_F	DENV1	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV1_19_RIGHT_R	first
589	DEN1_F5132_F_DENV1_19_RIGHT_R	5736	5126	DEN1_F5132_F	DENV1	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV1_19_RIGHT_R	first
589	DEN1_F5132_F_DENV1_19_RIGHT_R	5741	5131	DEN1_F5132_F	DENV1	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV1_19_RIGHT_R	first
321	DEN2_F5228_F_DENV2_18_R	5574	5229	DEN2_F5228_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV2_18_R	first
1206	DEN2_F5228_F_DENV2_31_RIGHT_R	6459	5230	DEN2_F5228_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV2_31_RIGHT_R	first
321	DEN2_F5228_F_DENV2_18_R	5568	5223	DEN2_F5228_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV2_18_R	first
1477	DEN2_F5228_F_DEN2_CC_1_R	6723	5223	DEN2_F5228_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	DEN2_CC_1_R	first
321	DEN2_F5228_F_DENV2_18_R	5573	5228	DEN2_F5228_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV2_18_R	first
716	DEN2_F5228_F_NS3_ANTISENSE_R	5968	5228	DEN2_F5228_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	NS3_ANTISENSE_R	first
1562	DEN3_F5396_F_DENV3_1_RIGHT_R	6986	5402	DEN3_F5396_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV3_1_RIGHT_R	first
1053	DEN3_F5396_F_DENV3_4_RIGHT_R	6476	5402	DEN3_F5396_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV3_4_RIGHT_R	first
765	DEN3_F5396_F_DENV3_20_RIGHT_R	6190	5402	DEN3_F5396_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV3_20_RIGHT_R	first
1513	DEN3_F5396_F_DODVRIPAPOSDIBUTTAAS_6_R	6937	5402	DEN3_F5396_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DODVRIPAPOSDIBUTTAAS_6_R	first
917	DEN3_F5396_F_DEN3_CC_4_R	6339	5402	DEN3_F5396_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DEN3_CC_4_R	first
685	DEN3_F5396_F_DENV3_20_RIGHT_R	6111	5403	DEN3_F5396_F	DENV3	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV3_20_RIGHT_R	first
625	DEN3_F5396_F_DENV3_24_RIGHT_R	6049	5403	DEN3_F5396_F	DENV3	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV3_24_RIGHT_R	first
1053	DEN3_F5396_F_D2_R	6470	5396	DEN3_F5396_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS5	D2_R	first
765	DEN3_F5396_F_DENV3_20_RIGHT_R	6184	5396	DEN3_F5396_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV3_20_RIGHT_R	first
765	DEN3_F5396_F_DENV3_20_RIGHT_R	6189	5401	DEN3_F5396_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV3_20_RIGHT_R	first
625	DEN3_F5396_F_DENV3_24_RIGHT_R	6047	5401	DEN3_F5396_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV3_24_RIGHT_R	first
331	DEN4_F5299_F_D2_R	5647	5297	DEN4_F5299_F	DENV4	GCF_000862125.1_ViralProj15306_genomic	NS5	D2_R	first
1158	DEN4_F5299_F_D2_R	6470	5291	DEN4_F5299_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	D2_R	first
545	NS3-1-O_F_NS3-1-I_R	1869	1305	NS3-1-O_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS1	NS3-1-I_R	first
640	NS3-1-O_F_D2R2099_R	1962	1305	NS3-1-O_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS1	D2R2099_R	first
980	NS3-1-SEQ_F_DENV2_RN_R1_R	6834	5834	NS3-1-SEQ_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV2_RN_R1_R	first
