Inner_Amplicon_Length	Inner_Combination_Name	Inner_Forward_Primer	Inner_Genotype	Inner_Reverse_Primer	Outer_Amplicon_Length	Outer_Combination_Name	Outer_Forward_Primer	Outer_Genotype	Outer_Reverse_Primer	Reference	Region
15	DENV2_6_LEFT_F_FAACOUFISPPAPR_4_R	DENV2_6_LEFT_F	DENV2	FAACOUFISPPAPR_4_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
15	DENV2_6_LEFT_F_D2_R	DENV2_6_LEFT_F	DENV2	D2_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
15	DENV2_6_LEFT_F_FAACOUFISPPAPR_4_R	DENV2_6_LEFT_F	DENV2	FAACOUFISPPAPR_4_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
15	DENV2_6_LEFT_F_D2_R	DENV2_6_LEFT_F	DENV2	D2_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
15	DENV2_6_LEFT_F_D2_R	DENV2_6_LEFT_F	DENV2	D2_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
15	DENV2_6_LEFT_F_D2_R	DENV2_6_LEFT_F	DENV2	D2_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
15	DENV2_6_LEFT_F_D2_R	DENV2_6_LEFT_F	DENV2	D2_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
15	DENV2_6_LEFT_F_D2_R	DENV2_6_LEFT_F	DENV2	D2_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
15	DENV2_6_LEFT_F_FAACOUFISPPAPR_4_R	DENV2_6_LEFT_F	DENV2	FAACOUFISPPAPR_4_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
15	DENV2_6_LEFT_F_DEN-2_C_R	DENV2_6_LEFT_F	DENV2	DEN-2_C_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
15	DENV2_6_LEFT_F_D2_R	DENV2_6_LEFT_F	DENV2	D2_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
15	DENV2_6_LEFT_F_FAACOUFISPPAPR_4_R	DENV2_6_LEFT_F	DENV2	FAACOUFISPPAPR_4_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
72	DEN-2_F_DENV2_8_RIGHT_R	DEN-2_F	DENV2	DENV2_8_RIGHT_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
72	DEN-2_F_DENV2_8_RIGHT_R	DEN-2_F	DENV2	DENV2_8_RIGHT_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
72	DEN-2_F_DENV2_8_RIGHT_R	DEN-2_F	DENV2	DENV2_8_RIGHT_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
72	DEN-2_F_DENV2_8_RIGHT_R	DEN-2_F	DENV2	DENV2_8_RIGHT_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
72	DEN-2_F_DENV2_8_RIGHT_R	DEN-2_F	DENV2	DENV2_8_RIGHT_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
72	DEN-2_F_DENV2_8_RIGHT_R	DEN-2_F	DENV2	DENV2_8_RIGHT_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
72	DEN-2_F_DENV2_8_RIGHT_R	DEN-2_F	DENV2	DENV2_8_RIGHT_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
72	DEN-2_F_DENV2_8_RIGHT_R	DEN-2_F	DENV2	DENV2_8_RIGHT_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
72	DEN-2_F_DENV2_8_RIGHT_R	DEN-2_F	DENV2	DENV2_8_RIGHT_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
72	DEN-2_F_DENV2_8_RIGHT_R	DEN-2_F	DENV2	DENV2_8_RIGHT_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
72	DEN-2_F_DENV2_8_RIGHT_R	DEN-2_F	DENV2	DENV2_8_RIGHT_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
72	DEN-2_F_DENV2_8_RIGHT_R	DEN-2_F	DENV2	DENV2_8_RIGHT_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
72	DEN-2_F_DENV2_8_RIGHT_R	DEN-2_F	DENV2	DENV2_8_RIGHT_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
72	DEN-2_F_DENV2_8_RIGHT_R	DEN-2_F	DENV2	DENV2_8_RIGHT_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
72	DEN-2_F_DENV2_8_RIGHT_R	DEN-2_F	DENV2	DENV2_8_RIGHT_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
72	DEN-2_F_DENV2_8_RIGHT_R	DEN-2_F	DENV2	DENV2_8_RIGHT_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
72	DEN-2_F_DENV2_8_RIGHT_R	DEN-2_F	DENV2	DENV2_8_RIGHT_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
55	DENV2_25_LEFT_F_MATK-1326_R	DENV2_25_LEFT_F	DENV2	MATK-1326_R	1329	DENV2_26_LEFT_F_MATK-1326_R	DENV2_26_LEFT_F	DENV2	MATK-1326_R	GCF_000866625.1_ViralProj15598_genomic	NS5
55	DENV2_25_LEFT_F_MATK-1326_R	DENV2_25_LEFT_F	DENV2	MATK-1326_R	1329	DENV2_26_LEFT_F_MATK-1326_R	DENV2_26_LEFT_F	DENV2	MATK-1326_R	GCF_000866625.1_ViralProj15598_genomic	NS5
23	DENV2_SP2_F_MATK-1326_R	DENV2_SP2_F	DENV2	MATK-1326_R	1329	DENV2_26_LEFT_F_MATK-1326_R	DENV2_26_LEFT_F	DENV2	MATK-1326_R	GCF_000866625.1_ViralProj15598_genomic	NS5
75	DENV3_6_LEFT_F_DENV3_5_RIGHT_R	DENV3_6_LEFT_F	DENV3	DENV3_5_RIGHT_R	398	DENV3_6_LEFT_F_DENV3_6_RIGHT_R	DENV3_6_LEFT_F	DENV3	DENV3_6_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	NS1
75	DENV3_6_LEFT_F_DENV3_5_RIGHT_R	DENV3_6_LEFT_F	DENV3	DENV3_5_RIGHT_R	398	DENV3_6_LEFT_F_DENV3_6_RIGHT_R	DENV3_6_LEFT_F	DENV3	DENV3_6_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	NS1
75	DENV3_6_LEFT_F_DENV3_5_RIGHT_R	DENV3_6_LEFT_F	DENV3	DENV3_5_RIGHT_R	398	DENV3_6_LEFT_F_DENV3_6_RIGHT_R	DENV3_6_LEFT_F	DENV3	DENV3_6_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	NS1
75	DENV3_6_LEFT_F_DENV3_5_RIGHT_R	DENV3_6_LEFT_F	DENV3	DENV3_5_RIGHT_R	398	DENV3_6_LEFT_F_DENV3_6_RIGHT_R	DENV3_6_LEFT_F	DENV3	DENV3_6_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	NS1
75	DENV3_6_LEFT_F_DENV3_5_RIGHT_R	DENV3_6_LEFT_F	DENV3	DENV3_5_RIGHT_R	398	DENV3_6_LEFT_F_DENV3_6_RIGHT_R	DENV3_6_LEFT_F	DENV3	DENV3_6_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	NS1
68	DENV4_18_LEFT_F_DENV4_17_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_17_RIGHT_R	1316	DENV4_18_LEFT_F_DENV4_21_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_21_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	NS5
68	DENV4_18_LEFT_F_DENV4_17_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_17_RIGHT_R	1316	DENV4_18_LEFT_F_DENV4_21_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_21_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	NS5
68	DENV4_18_LEFT_F_DENV4_17_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_17_RIGHT_R	1316	DENV4_18_LEFT_F_DENV4_21_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_21_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	NS5
68	DENV4_18_LEFT_F_DENV4_17_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_17_RIGHT_R	1316	DENV4_18_LEFT_F_DENV4_21_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_21_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	NS5
68	DENV4_18_LEFT_F_DENV4_17_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_17_RIGHT_R	1430	DENV4_18_LEFT_F_DENV4_21_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_21_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	NS5
68	DENV4_18_LEFT_F_DENV4_17_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_17_RIGHT_R	1430	DENV4_18_LEFT_F_DENV4_21_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_21_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	NS5
68	DENV4_18_LEFT_F_DENV4_17_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_17_RIGHT_R	1430	DENV4_18_LEFT_F_DENV4_21_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_21_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	NS5
68	DENV4_18_LEFT_F_DENV4_17_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_17_RIGHT_R	1430	DENV4_18_LEFT_F_DENV4_21_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_21_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	NS5
68	DENV4_18_LEFT_F_DENV4_17_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_17_RIGHT_R	1567	DENV4_18_LEFT_F_DENV4_28_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_28_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	NS5
68	DENV4_18_LEFT_F_DENV4_17_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_17_RIGHT_R	1567	DENV4_18_LEFT_F_DENV4_28_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_28_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	NS5
68	DENV4_18_LEFT_F_DENV4_17_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_17_RIGHT_R	1567	DENV4_18_LEFT_F_DENV4_28_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_28_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	NS5
68	DENV4_18_LEFT_F_DENV4_17_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_17_RIGHT_R	1567	DENV4_18_LEFT_F_DENV4_28_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_28_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	NS5
68	DENV4_18_LEFT_F_DENV4_17_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_17_RIGHT_R	540	DENV4_18_LEFT_F_D4_R	DENV4_18_LEFT_F	DENV4	D4_R	GCF_000866625.1_ViralProj15598_genomic	NS5
68	DENV4_18_LEFT_F_DENV4_17_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_17_RIGHT_R	540	DENV4_18_LEFT_F_D4_R	DENV4_18_LEFT_F	DENV4	D4_R	GCF_000866625.1_ViralProj15598_genomic	NS5
68	DENV4_18_LEFT_F_DENV4_17_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_17_RIGHT_R	540	DENV4_18_LEFT_F_D4_R	DENV4_18_LEFT_F	DENV4	D4_R	GCF_000866625.1_ViralProj15598_genomic	NS5
68	DENV4_18_LEFT_F_DENV4_17_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_17_RIGHT_R	540	DENV4_18_LEFT_F_D4_R	DENV4_18_LEFT_F	DENV4	D4_R	GCF_000866625.1_ViralProj15598_genomic	NS5
58	DENV4_26_LEFT_F_D4A6_R	DENV4_26_LEFT_F	DENV4	D4A6_R	649	DENV4_26_LEFT_F_DENV4_4_RIGHT_R	DENV4_26_LEFT_F	DENV4	DENV4_4_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	NS1
58	DENV4_26_LEFT_F_D4A6_R	DENV4_26_LEFT_F	DENV4	D4A6_R	649	DENV4_26_LEFT_F_DENV4_4_RIGHT_R	DENV4_26_LEFT_F	DENV4	DENV4_4_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	NS1
68	DENV4_18_LEFT_F_DENV4_17_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_17_RIGHT_R	1548	DENV4_33_LEFT_F_DENV4_21_RIGHT_R	DENV4_33_LEFT_F	DENV4	DENV4_21_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	NS5
68	DENV4_18_LEFT_F_DENV4_17_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_17_RIGHT_R	1548	DENV4_33_LEFT_F_DENV4_21_RIGHT_R	DENV4_33_LEFT_F	DENV4	DENV4_21_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	NS5
68	DENV4_18_LEFT_F_DENV4_17_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_17_RIGHT_R	1548	DENV4_33_LEFT_F_DENV4_21_RIGHT_R	DENV4_33_LEFT_F	DENV4	DENV4_21_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	NS5
68	DENV4_18_LEFT_F_DENV4_17_RIGHT_R	DENV4_18_LEFT_F	DENV4	DENV4_17_RIGHT_R	1548	DENV4_33_LEFT_F_DENV4_21_RIGHT_R	DENV4_33_LEFT_F	DENV4	DENV4_21_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	NS5
55	DENV2_25_LEFT_F_MATK-1326_R	DENV2_25_LEFT_F	DENV2	MATK-1326_R	591	DENV2_15_F_DEN2_CC_1_R	DENV2_15_F	DENV2	DEN2_CC_1_R	GCF_000866625.1_ViralProj15598_genomic	NS5
55	DENV2_25_LEFT_F_MATK-1326_R	DENV2_25_LEFT_F	DENV2	MATK-1326_R	591	DENV2_15_F_DEN2_CC_1_R	DENV2_15_F	DENV2	DEN2_CC_1_R	GCF_000866625.1_ViralProj15598_genomic	NS5
23	DENV2_SP2_F_MATK-1326_R	DENV2_SP2_F	DENV2	MATK-1326_R	591	DENV2_15_F_DEN2_CC_1_R	DENV2_15_F	DENV2	DEN2_CC_1_R	GCF_000866625.1_ViralProj15598_genomic	NS5
75	DENV3_6_LEFT_F_DENV3_5_RIGHT_R	DENV3_6_LEFT_F	DENV3	DENV3_5_RIGHT_R	569	DENV3_RN_F1_F_DENV3_5_RIGHT_R	DENV3_RN_F1_F	DENV3	DENV3_5_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	NS1
75	DENV3_6_LEFT_F_DENV3_5_RIGHT_R	DENV3_6_LEFT_F	DENV3	DENV3_5_RIGHT_R	569	DENV3_RN_F1_F_DENV3_5_RIGHT_R	DENV3_RN_F1_F	DENV3	DENV3_5_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	NS1
75	DENV3_6_LEFT_F_DENV3_5_RIGHT_R	DENV3_6_LEFT_F	DENV3	DENV3_5_RIGHT_R	569	DENV3_RN_F1_F_DENV3_5_RIGHT_R	DENV3_RN_F1_F	DENV3	DENV3_5_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	NS1
75	DENV3_6_LEFT_F_DENV3_5_RIGHT_R	DENV3_6_LEFT_F	DENV3	DENV3_5_RIGHT_R	569	DENV3_RN_F1_F_DENV3_5_RIGHT_R	DENV3_RN_F1_F	DENV3	DENV3_5_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	NS1
75	DENV3_6_LEFT_F_DENV3_5_RIGHT_R	DENV3_6_LEFT_F	DENV3	DENV3_5_RIGHT_R	569	DENV3_RN_F1_F_DENV3_5_RIGHT_R	DENV3_RN_F1_F	DENV3	DENV3_5_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	NS1
75	DENV3_6_LEFT_F_DENV3_5_RIGHT_R	DENV3_6_LEFT_F	DENV3	DENV3_5_RIGHT_R	761	DENV3_RN_F1_F_PRIMER_4_R	DENV3_RN_F1_F	DENV3	PRIMER_4_R	GCF_000862125.1_ViralProj15306_genomic	NS1
75	DENV3_6_LEFT_F_DENV3_5_RIGHT_R	DENV3_6_LEFT_F	DENV3	DENV3_5_RIGHT_R	761	DENV3_RN_F1_F_PRIMER_4_R	DENV3_RN_F1_F	DENV3	PRIMER_4_R	GCF_000862125.1_ViralProj15306_genomic	NS1
