accession_id	sequence_length
OR899330.1	353
OR899329.1	435
OR899328.1	434
OR899327.1	456
OR899326.1	459
OR896549.1	372
OR888735.1	10667
OR888734.1	10681
OR888733.1	10690
OR888732.1	10699
OR888731.1	10682
OR888730.1	10698
OR179889.1	1485
OR179888.1	1485
OR179887.1	1485
OR179886.1	1485
OR179885.1	1485
OR179884.1	1485
OR179883.1	1485
OR179882.1	1485
OR179881.1	1485
OR880497.1	439
OR581581.1	10473
OR578395.1	10642
OR575180.1	10642
OR574470.1	10642
OR875980.1	1479
OR875979.1	1479
OR875978.1	1479
OR875977.1	1479
OR875976.1	1479
OR875975.1	1479
OR875974.1	1479
OR875973.1	1479
OR875972.1	1479
OR875971.1	1479
OR875970.1	1479
OR875969.1	1479
OR875968.1	1479
OR875967.1	1479
OR875966.1	1479
OR875965.1	1479
OR875964.1	1479
OR875963.1	1479
OR875962.1	1479
OR875961.1	1479
OR875960.1	1479
OR875959.1	1479
OR875958.1	1479
OR875957.1	1479
OR875956.1	1479
OR875955.1	1479
OR875954.1	1479
OR875953.1	1479
OR875952.1	1479
OR875951.1	1479
OR875950.1	1479
OR875949.1	1479
OR875948.1	1479
OR875947.1	1479
OR875946.1	1479
OR797471.1	349
OR797470.1	349
OR797469.1	349
OR797468.1	310
OR872331.1	435
OR857859.1	459
OR575179.2	10446
OR394054.1	10173
OR394053.1	10176
OR394052.1	10173
OR394051.1	10179
OR394050.1	10176
OR394049.1	10176
OR394048.1	10173
OR394047.1	10173
OR394046.1	10176
OR394045.1	10176
OR394044.1	10176
OR394043.1	10173
OR394042.1	10176
OR394041.1	10173
OR394040.1	10179
OR394039.1	10176
OR394038.1	10173
OR394037.1	10173
OR394036.1	10176
OR394035.1	10176
OR394034.1	10173
OR394033.1	10176
OR394032.1	10173
OR394031.1	10176
OR394030.1	10176
OR394029.1	10176
OR394028.1	10176
OR394027.1	10173
OR394026.1	10173
OR394025.1	10173
OR394024.1	10176
OR394023.1	10173
OR394022.1	10176
OR394021.1	10173
OR394020.1	10173
OR394019.1	10173
OR394018.1	10173
OR394017.1	10173
OR394016.1	10179
OR394015.1	10173
OR394014.1	10179
OR394013.1	10176
OR394012.1	10173
OR394011.1	10176
OR394010.1	10179
OR394009.1	10173
OR394008.1	10179
OR394007.1	10173
OR394006.1	10176
OR394005.1	10173
OR394004.1	10173
OR394003.1	10173
OR394002.1	10173
OR394001.1	10173
OR394000.1	10176
OR393999.1	10176
OR393998.1	10176
OR393997.1	10173
OR393996.1	10176
OR393995.1	10173
OR393994.1	10179
OR393993.1	10179
OR393992.1	10176
OR393991.1	10176
OR393990.1	10176
OR393989.1	10179
OR393988.1	10176
OR393987.1	10173
OR393986.1	10179
OR393985.1	10176
OR393984.1	10176
OR393983.1	10179
OR393982.1	10176
OR393981.1	10173
OR393980.1	10176
OR393979.1	10173
OR393978.1	10173
OR393977.1	10173
OR393976.1	10173
OR393975.1	10176
OR393974.1	10176
OR393973.1	10173
OR393972.1	10173
OR393971.1	10173
OR393970.1	10176
OR393969.1	10176
OR393968.1	10179
OR393967.1	10173
OR393966.1	10173
OR393965.1	10176
OR393964.1	10176
OR393963.1	10176
OR393962.1	10179
OR393961.1	10179
OR393960.1	10179
OR393959.1	10173
OR393958.1	10173
OR393957.1	10176
OR393956.1	10176
OR393955.1	10173
OR393954.1	10173
OR393953.1	10176
OR393952.1	10176
OR393951.1	10176
OR393950.1	10173
OR393949.1	10179
OR393948.1	10176
OR393947.1	10176
OR393946.1	10176
OR393945.1	10176
OR393944.1	10176
OR393943.1	10176
OR393942.1	10176
OR393941.1	10176
OR393940.1	10176
OR393939.1	10176
OR393938.1	10179
OR393937.1	10176
OR393936.1	10176
OR393935.1	10176
OR393934.1	10179
OR393933.1	10176
OR393932.1	10173
OR393931.1	10179
OR393930.1	10176
OR393929.1	10176
OR393928.1	10176
OR393927.1	10176
OR393926.1	10176
OR393925.1	10176
OR393924.1	10176
OR393923.1	10176
OR393922.1	10176
OR393921.1	10176
OR393920.1	10176
OR393919.1	10176
OR393918.1	10176
OR393917.1	10176
OR393916.1	10176
OR393915.1	10176
OR393914.1	10176
OR393913.1	10176
OR393912.1	10176
OR393911.1	10176
OR393910.1	10176
OR393909.1	10176
OR393908.1	10176
OR393907.1	10176
OR393906.1	10176
OR393905.1	10176
OR393904.1	10176
OR393903.1	10176
OR393902.1	10179
OR393901.1	10176
OR393900.1	10176
OR393899.1	10176
OR393898.1	10176
OR393897.1	10176
OR393896.1	10176
OR393895.1	10176
OR393894.1	10176
OR393893.1	10176
OR393892.1	10176
OR393891.1	10179
OR393890.1	10176
OR393889.1	10176
OR393888.1	10176
OR393887.1	10176
OR393886.1	10176
OR393885.1	10176
OR393884.1	10176
OR393883.1	10176
OR393882.1	10176
OR393881.1	10176
OR393880.1	10179
OR393879.1	10179
OR393878.1	10176
OR393877.1	10179
OR393876.1	10176
OR393875.1	10179
OR393874.1	10176
OP952228.1	1485
OP952227.1	1485
OP952226.1	1485
OP952225.1	1485
OP952224.1	1485
OP952223.1	1485
OP952222.1	1479
OP952221.1	1479
OP952220.1	1479
OP952219.1	1479
OP952218.1	1479
OP952217.1	716
OP952216.1	1479
OP952215.1	671
OP952214.1	1479
OP952213.1	1479
OP952212.1	1479
OP952211.1	1479
OP952210.1	1479
OP952209.1	1479
OP952208.1	1479
OP952207.1	1479
OP952206.1	1479
OP952205.1	1479
OP952204.1	1479
OP952203.1	1479
OP952202.1	1479
OP952201.1	1479
OP952200.1	1472
OP952199.1	1485
OP952198.1	1485
OP952197.1	1485
OP952196.1	896
OP952195.1	1472
OP952194.1	1485
OP952193.1	1485
OP952192.1	1485
OP952191.1	1485
OP952190.1	1485
OP952189.1	1485
OP952188.1	1461
OP952187.1	1485
OP952186.1	1485
OP952185.1	1485
OP952184.1	1485
OP952183.1	1485
OP952182.1	1485
OP952181.1	1485
OP952180.1	1485
OP952179.1	1485
OP952178.1	1485
OP952177.1	1485
OP952176.1	1485
OP952175.1	1485
OP952174.1	602
OP952173.1	1485
OP952172.1	1485
OP952171.1	1485
OP952170.1	1485
OP952169.1	1485
OP952168.1	1485
OP952167.1	1485
OP952166.1	1485
OP952165.1	1485
OP952164.1	1485
OP952163.1	1485
OP952162.1	1485
OR838780.1	10563
OR836574.1	513
OR836576.1	513
OR836572.1	513
OR836575.1	512
OR836577.1	512
OR836573.1	509
OR757324.1	1056
OR757323.1	1056
OR821965.1	10633
OR821964.1	10559
OR821963.1	10548
OR821962.1	10539
OR821961.1	10546
OR821960.1	10589
OR821959.1	10512
OR821958.1	10667
OR821957.1	10376
OR821956.1	10664
OR821955.1	10658
OR821954.1	10523
OR821953.1	10639
OR821952.1	10591
OR821951.1	10571
OR821950.1	10497
OR821949.1	10542
OR821948.1	10546
OR821947.1	10596
OR821946.1	10604
OR821945.1	10461
OR821944.1	10563
OR821943.1	10571
OR821942.1	10572
OR821941.1	10461
OR821940.1	10592
OR821939.1	10515
OR821938.1	10461
OR821937.1	10546
OR821936.1	10538
OR821935.1	10546
OR821934.1	10461
OR821933.1	10546
OR821932.1	10546
OR821931.1	10546
OR821930.1	10546
OR821929.1	10560
OR821726.1	10708
OR821725.1	10723
OR821724.1	10723
OR821723.1	10638
OR821722.1	10638
OR821721.1	10638
OR817350.1	448
OR816145.1	420
OR816144.1	315
OR804009.1	10670
OR804008.1	10718
OR575123.1	1485
OR575040.1	1485
OR775581.1	1485
OR771199.1	10571
OR771198.1	10503
OR771197.1	10665
OR771196.1	10651
OR771195.1	10560
OR771194.1	10607
OR771193.1	10512
OR771192.1	10578
OR771191.1	10547
OR771190.1	10584
OR771189.1	10185
OR771188.1	10604
OR771187.1	10519
OR771186.1	10545
OR771185.1	10546
OR771184.1	10546
OR771183.1	10611
OR771182.1	10559
OR771181.1	10461
OR771180.1	10461
OR771179.1	10461
OR771178.1	10551
OR771177.1	10461
OR771176.1	10571
OR771175.1	10546
OR771174.1	10550
OR771173.1	10575
OR771172.1	10531
OR771171.1	10568
OR771170.1	10546
OR771169.1	10545
OR771168.1	10512
OR771167.1	10577
OR771166.1	10583
OR771165.1	10570
OR771164.1	10503
OR771163.1	10549
OR771162.1	10567
OR771161.1	10625
OR771160.1	10546
OR771159.1	10608
OR771158.1	10619
OR771157.1	10536
OR771156.1	10535
OR771155.1	10532
OR771154.1	10546
OR771153.1	10546
OR771152.1	10623
OR771151.1	10461
OR771150.1	10586
OR771149.1	10461
OR771148.1	10544
OR771147.1	10512
OR771146.1	10376
OR771145.1	10461
OR771144.1	10461
OR771143.1	10570
OR771142.1	10546
OR771141.1	10639
OR771140.1	10538
OR771139.1	10546
OR771138.1	10580
OR771137.1	10567
OR771136.1	10546
OR771135.1	10544
OR771134.1	10533
OR771133.1	10546
OR771132.1	10543
OR771131.1	10585
OR771130.1	10546
OR771129.1	10570
OR771128.1	10538
OR771127.1	10586
OR771126.1	10567
OR771125.1	10555
OR771124.1	10541
OR771123.1	10580
OR771122.1	10598
OR771121.1	10567
OR771120.1	10586
OR771119.1	10581
OR771118.1	10461
OR771117.1	10617
OR771116.1	10604
OR771115.1	10586
OR771114.1	10579
OR771113.1	10543
OR771112.1	10567
OR771111.1	10577
OR770177.1	1479
OR765990.1	10165
OR765989.1	10165
OR765988.1	10165
OR765987.1	10165
OP599769.1	9916
OP599768.1	9926
OP599767.1	9932
OP599766.1	9897
OP599765.1	9876
OP599764.1	9933
OP599763.1	9933
OP599762.1	9893
OP599761.1	9932
OP599760.1	9947
OP599759.1	9876
OP599758.1	9894
OP599757.1	9983
OP599756.1	9940
OP599755.1	9967
OP599754.1	10014
OP599753.1	9980
OP599752.1	10029
OP599751.1	10033
OP599750.1	9989
OP599749.1	10026
OP599748.1	9990
OP599747.1	9958
OP599746.1	9954
OP599745.1	10028
OP599744.1	9993
OP599743.1	9989
OP599742.1	9955
OP599741.1	9959
OP599740.1	9969
OP599739.1	10089
OP599738.1	9988
OP599737.1	9986
OP599736.1	10011
OP599735.1	9965
OP599734.1	9964
OP599733.1	9953
OP599732.1	9957
OP599731.1	9959
OP599730.1	9984
OP599729.1	9945
OP599728.1	9962
OP599727.1	9960
OP599726.1	9939
OP599725.1	10022
OP599724.1	9940
OP599723.1	9952
OP599722.1	9946
OP599721.1	9977
OP599720.1	9988
OP599719.1	9935
OP599718.1	9958
OP599717.1	9959
OP599716.1	9957
OP599715.1	9944
OP599714.1	9956
OP599713.1	9950
OP599712.1	9962
OP599711.1	9952
OP599710.1	9921
OP599709.1	9925
OP599708.1	9930
OP599707.1	9941
OP599706.1	9965
OP599705.1	9935
OP599704.1	10024
OP599703.1	9969
OP599702.1	9947
OP599701.1	9988
OP599700.1	9965
OP599699.1	9938
OP599698.1	9965
OP599697.1	9898
OP599696.1	9983
OP599695.1	9967
OP599694.1	10023
OP599693.1	9926
OP599692.1	9965
OP599691.1	10016
OP599690.1	9953
OP599689.1	10020
OP599688.1	9977
OP599687.1	9980
OP599686.1	9946
OP599685.1	9977
OP599684.1	10023
OP599683.1	9978
OP599682.1	9920
OP599681.1	9938
OP599680.1	9956
OP599679.1	9920
OP599678.1	10007
OP599677.1	9972
OP599676.1	10029
OP599675.1	9949
OP599674.1	9980
OP599673.1	10014
OP599672.1	9992
OP599671.1	10026
OP599670.1	9973
OP599669.1	9988
OP599668.1	10016
OP599667.1	10057
OP599666.1	9955
OP599665.1	9992
OP599664.1	9968
OP599663.1	9961
OP599662.1	10035
OP599661.1	9954
OP599660.1	9966
OP599659.1	10013
OR098849.1	10572
OR037380.1	10181
OR037379.1	10181
OR037378.1	10181
OR037377.1	10181
OR037376.1	10181
OR037375.1	10181
OR037374.1	10181
OR037373.1	10181
OR037372.1	10181
OR037371.1	10181
OR037370.1	10181
OR037369.1	10181
OR037368.1	10181
OR037367.1	10181
OR037366.1	10181
OR037365.1	10181
OR037364.1	10181
OR037363.1	10181
OR037362.1	10181
OR037361.1	10181
OR037360.1	10181
OR037359.1	10181
OR037358.1	10181
OR037357.1	10181
OR037356.1	10181
OR037355.1	10181
OR037354.1	10181
OR037353.1	10181
OR037352.1	10181
OQ726079.1	10672
OQ726075.1	10723
OQ726074.1	10647
OQ726073.1	10723
OQ726072.1	10642
OQ726071.1	10698
OQ726070.1	10723
OQ725734.1	10723
OQ725733.1	10658
OQ725732.1	10524
OQ725731.1	10647
OQ725730.1	10723
OK040058.2	10173
OR726319.1	390
OR726318.1	341
OR726316.1	353
OR726315.1	352
OR518272.1	10610
OR518271.1	10610
OR518270.1	10617
OR518269.1	10610
OR518268.1	10556
OR518267.1	10553
OR518266.1	10652
OR518265.1	10557
OR518264.1	10553
OR518263.1	10562
OR518262.1	10582
OR518261.1	10561
OR518260.1	10537
OR518259.1	10570
OR518258.1	10319
OR518257.1	10551
OR518256.1	10640
OR518255.1	10644
OR518254.1	10579
OR518253.1	10596
OR518252.1	10586
OR518251.1	10621
OR518250.1	10597
OR518249.1	10576
OR518248.1	10568
OR518247.1	10548
OR518246.1	10569
OR518245.1	10639
OR518244.1	10551
OR518243.1	10566
OR518242.1	10560
OR518241.1	10558
OR518240.1	10562
OR518239.1	10567
OR518238.1	10595
OR518237.1	10570
OR518236.1	10581
OR518235.1	10592
OR518234.1	10596
OR518233.1	10558
OR518232.1	10584
OR518231.1	10539
OR518230.1	10595
OR518229.1	10555
OR518228.1	10551
OR518227.1	10573
OR518226.1	10602
OR518225.1	10578
OR518224.1	10596
OR518223.1	10547
OR518222.1	10543
OR518221.1	10596
OR518220.1	10552
OR518219.1	10559
OR518218.1	10552
OR518217.1	10549
OR518216.1	10593
MT138796.1	1056
MT138795.1	1056
MT138794.1	1056
MT138793.1	1056
MT138792.1	1056
MT138791.1	1056
MT138790.1	1056
MT138789.1	1056
MT138788.1	1056
MT138787.1	1056
MT138786.1	1056
OP909734.1	10723
OR654284.1	10563
OR654283.1	10461
OR654282.1	10575
OR654281.1	10590
OR654280.1	10540
OR654279.1	10513
OR654278.1	10546
OR654277.1	10461
OR654276.1	10486
OR654275.1	10477
OR654274.1	10586
OR654273.1	10575
OR654272.1	10532
OR654271.1	10564
OR654270.1	10580
OR654269.1	10575
OR654268.1	10568
OR654267.1	10534
OR654266.1	10560
OR619405.1	10177
OR619404.1	10177
OR258579.1	9967
OR258578.1	9974
OR258577.1	9979
OR258576.1	9965
OR258575.1	9954
OR258574.1	10025
OR258573.1	10031
OR258572.1	10122
OR258571.1	10034
OR258570.1	10036
OR258569.1	10089
OR258568.1	10069
OR258567.1	10091
OR258566.1	10082
OR258565.1	10102
OR258564.1	10094
OR258563.1	10129
OR258562.1	10049
OR258561.1	10075
OR258560.1	10166
OR258559.1	10025
OR258558.1	10184
OR258557.1	10100
OR258556.1	10060
OR258555.1	10082
OR258554.1	10057
OR258553.1	10110
OR258552.1	10093
OR258551.1	10025
OR258550.1	10142
OR258549.1	10021
OR258548.1	10122
OR258547.1	10107
OR258546.1	10036
OR258545.1	10217
OR258544.1	10022
OR258543.1	10030
OR258542.1	10160
OR258541.1	10155
OR258540.1	10135
OR258539.1	10021
OR258538.1	10021
OR258537.1	10100
OR258536.1	10024
OR258535.1	10021
OR258534.1	10021
OR258533.1	10124
OR258532.1	10126
OR258531.1	10143
OR258530.1	10145
OR258529.1	10190
OR258528.1	10021
OR258527.1	10021
OR258526.1	10097
OR258525.1	10112
OR258524.1	10140
OR258523.1	10158
OR258522.1	10145
OR258521.1	10075
OR258520.1	10021
OR258519.1	10165
OR258518.1	10099
OR258517.1	10135
OR258516.1	10025
OR258515.1	10037
OR258514.1	10021
OR258513.1	10136
OR258512.1	10021
OR258511.1	10107
OR258510.1	10021
OR258509.1	10104
OR258508.1	10021
OR258507.1	10174
OR258506.1	10125
OR258505.1	10160
OR258504.1	10026
OR258503.1	10149
OR258502.1	10157
OR258501.1	10021
OR258500.1	10075
OR258499.1	10052
OR258498.1	10021
OR258497.1	10157
OR258496.1	10084
OR258495.1	10051
OR258494.1	10048
OR258493.1	10021
OR258492.1	10021
OR258491.1	10021
OR258490.1	10069
OR258489.1	10122
OR258488.1	10043
OR258487.1	10021
OR258486.1	10100
OR258485.1	10021
OR258484.1	10021
OR258483.1	10021
OR258482.1	10142
OR258481.1	10021
OR258480.1	10021
OR258479.1	10030
OR258478.1	10021
OR258477.1	10021
OR258476.1	10046
OR258475.1	10140
OR258474.1	10021
OR258473.1	10021
OR258472.1	10021
OR258471.1	10021
OR258470.1	10102
OR258469.1	10089
OR258468.1	10021
OR258467.1	10132
OR258466.1	10108
OR258465.1	10025
OR258464.1	10127
OR258463.1	10044
OR258462.1	10021
OR258461.1	10035
OR258460.1	10021
OR258459.1	10021
OR258458.1	10021
OR258457.1	10023
OR258456.1	10121
OR258455.1	10021
OR258454.1	10165
OR258453.1	10027
OR258452.1	10136
OR258451.1	10021
OR258450.1	10127
OR258449.1	10135
OR258448.1	10136
OR258447.1	10101
OR258446.1	10112
OR258445.1	10021
OR258444.1	10047
OR258443.1	10116
OR258442.1	10021
OR258441.1	10021
OR258440.1	10046
OR258439.1	10057
OR258438.1	10125
OR258437.1	10094
OR258436.1	10158
OR258435.1	10150
OR258434.1	10155
OR258433.1	10030
OR258432.1	10031
OR258431.1	10043
OR258430.1	10173
OR258429.1	10134
OR258428.1	10134
OR258427.1	10138
OR258426.1	10034
OR258425.1	10039
OR258424.1	10036
OR258423.1	10051
OR258422.1	10021
OR258421.1	10089
OR258420.1	10056
OR258419.1	10134
OR258418.1	10064
OR258417.1	10031
OR258416.1	10047
OR258415.1	10028
OR258414.1	10148
OR258413.1	10024
OR258412.1	10024
OR258411.1	10025
OR258410.1	10046
OR258409.1	10047
OR258408.1	10023
OR258407.1	10031
OR258406.1	10147
OR258405.1	10079
OR258404.1	10026
OR258403.1	10143
OR229985.1	10639
OR229984.1	10639
OR229983.1	10639
OR229982.1	10649
OR229981.1	10648
OR229980.1	10649
OR229979.1	10649
OR229978.1	10649
OR229977.1	10649
OR229976.1	10667
OR229975.1	10667
OR229974.1	10667
OR229973.1	10667
OR229972.1	10667
OR229971.1	10667
OR229970.1	10667
OR229969.1	10667
OR229968.1	10667
OR229967.1	10664
OR229966.1	10667
OR229965.1	10667
OR229964.1	10667
OR229963.1	10667
OR229962.1	10667
OR229961.1	10667
OR229960.1	10667
OR229959.1	10667
OR229958.1	10667
OR229957.1	10665
OR229956.1	10665
OR229955.1	10665
OR229954.1	10665
OR593383.1	10690
OR593382.1	10689
OR593381.1	10688
OR593380.1	10688
OR593379.1	10688
OR593378.1	10690
OR593377.1	10689
OR593376.1	10689
OR593375.1	10688
OR593374.1	10690
OR593373.1	10690
OR593372.1	10689
